membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	1	2	2	2	2
HUMC-8	2	2	2	2	2	3	3
UNMC-81	1	3	3	3	3	4	4
UNMC-18	1	1	1	1	4	1	5
HUMC-7	3	4	4	4	5	5	4
UNMC-16	3	2	2	2	2	5	2
UNMC-7	2	4	3	5	6	5	4
S92-5	3	5	3	6	5	4	4
UNMC-33	3	4	4	4	5	5	4
WCM062	3	2	2	2	2	2	2
GROUP4-9	3	2	2	2	7	6	3
UNMC-68-A2	2	4	5	2	7	7	6
M47-024	2	4	5	5	6	7	2
SPECS-3163	2	2	2	2	7	7	6
UNMC-5	3	2	2	2	2	6	6
S94-7	3	2	2	2	7	7	6
GROUP7-1	3	2	2	2	7	6	3
M47-027	3	2	2	2	7	6	6
SPECS-3155	2	3	5	5	6	7	7
GROUP7-15	1	1	1	1	1	1	1
WCM032	4	5	3	3	3	4	8
HUMC3	3	2	2	2	2	2	2
IA04	3	4	4	4	5	5	9
HUMC-15	2	5	3	4	4	5	5
IA1857	1	1	1	1	1	6	1
GROUP6-2	4	3	5	3	3	4	8
GROUP5-9	2	4	4	7	4	8	5
GROUP4-2	1	1	2	7	4	8	5
UNMC-62	3	2	2	6	2	6	6
SPECS-1917	2	4	5	5	6	7	7
IA2852	3	4	5	6	8	9	10
MCL-38	1	1	1	1	1	1	1
GROUP5-6	3	2	2	2	2	6	6
MCL-138	1	1	1	1	2	2	2
GROUP4-7	3	2	2	2	2	6	6
MCL-98	1	1	1	1	1	1	1
GROUP7-17	3	5	2	7	4	8	3
M47-029	3	4	4	4	5	5	9
M22-51	3	2	2	2	2	6	6
HUMC-6	3	2	2	2	2	6	6
S03-3	3	2	1	2	2	2	2
MCL-14	3	5	5	6	8	9	10
MCL-37	3	4	4	4	2	6	6
MCL-33	1	1	1	1	5	5	2
IA2268	3	2	2	2	7	6	3
GROUP4-1	1	1	2	1	4	6	5
GROUP4-4	3	2	2	2	2	6	6
MCL-40	3	2	2	4	7	3	3
GROUP7-13	1	1	1	1	2	2	2
UNMC-20	3	1	4	4	2	6	6
UNMC-69	4	3	3	3	3	4	8
SPECS-3158	2	4	5	5	6	7	7
IA4227	3	4	4	4	5	5	9
GROUP6-4	1	1	1	1	1	1	1
GROUP6-3	3	2	2	2	2	6	6
UNMC-28	1	1	1	1	1	1	2
SPECS-3157	4	3	6	3	3	4	8
MCL-39	3	2	2	2	2	6	6
MCL-42	2	5	3	5	4	8	5
UNMC-90	3	2	2	2	2	2	2
UNMC-48	3	4	4	4	5	5	9
GROUP7-6	3	2	4	4	2	5	6
GROUP5-4	4	3	6	3	3	4	8
IA68	4	5	3	3	3	4	4
GROUP7-11	1	3	6	3	3	4	1
UNMC-6	1	1	6	2	7	3	3
SC86-6	2	5	3	7	4	8	5
IA4885	2	5	3	7	4	8	5
UNMC-55	4	3	3	3	3	4	8
UNMC-47	3	4	5	4	5	5	4
UNMC-87	3	4	4	4	5	5	4
GROUP7-9	3	4	4	4	7	5	3
GROUP7-20	3	4	4	4	5	5	4
GROUP5-10	2	4	5	5	5	5	4
UNMC-64	1	1	1	1	2	5	2
IA2745	1	1	1	1	1	6	1
HUMC4	3	4	4	4	5	5	4
UNMC-79-C1	2	4	5	5	6	7	7
IA2084	1	1	4	4	5	5	4
IA4203	3	4	4	4	5	5	4
IA1147	1	3	6	3	3	4	8
UNMC-61	2	5	3	7	5	4	4
MCL-128	1	1	1	1	1	1	1
GROUP7-14	1	1	2	2	4	3	5
GROUP4-6	4	3	6	3	3	4	8
GROUP7-2	1	1	1	1	1	1	1
HUMC5	3	2	2	2	7	6	3
MCL-35	1	1	1	1	1	1	1
MCL-75	2	2	2	2	7	7	6
UNMC-24	2	5	3	7	4	8	5
M47-023	2	5	3	7	4	8	5
UNMC-86	3	4	5	6	8	9	10
GROUP5-1	2	4	5	5	6	7	7
GROUP5-5	3	2	2	2	7	3	3
UNMC-8	1	1	1	3	1	4	1
GROUP6-1	1	1	1	1	1	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	4	3	5	6	8	4	10
S08-1	3	5	3	7	4	8	3
UNMC-84	3	5	3	7	4	8	5
SC02-11	4	3	6	3	3	4	8
UNMC-44	1	1	1	1	1	1	1
M47-022	2	5	3	7	4	4	5
BC04	2	5	3	7	4	8	5
HUMC-9	2	4	3	7	4	8	4
GROUP7-22	2	5	4	7	4	8	5
M47-3	1	1	5	6	1	1	1
UNMC-51	2	5	3	7	4	8	5
GROUP4-3	3	4	5	6	8	9	10
WCM045	3	4	4	5	5	5	9
UNMC-31	1	1	1	1	2	2	2
GROUP7-5	1	1	1	1	1	3	4
GROUP4-8	4	3	4	7	3	4	4
UNMC-97	1	3	6	1	3	4	8
HUMC1	3	2	2	2	2	7	2
MCL-61	1	1	1	1	2	2	2
S87-4	2	4	5	6	6	7	10
UNMC-85	3	2	2	2	7	9	3
SC08-2	3	4	5	6	8	9	10
S06-166	2	4	5	5	6	7	7
IA2334	3	4	5	6	8	9	10
MCL-122	3	4	5	6	8	9	10
GROUP5-3	1	1	1	1	1	2	4
GROUP5-7	1	1	1	1	1	1	1
S89-9	2	4	5	5	6	7	7
GROUP4-5	1	1	1	1	1	2	2
M47-025	3	2	2	2	7	6	3
IA834	3	2	2	2	7	3	3
HUMC-12	1	1	1	1	1	2	2
UNMC-88	1	1	1	1	1	2	1
