membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	1	1	1	1	1	1
HUMC-8	2	2	2	2	2	2	1
UNMC-81	1	1	3	3	3	3	2
UNMC-18	2	1	1	1	1	2	1
HUMC-7	3	3	4	4	4	4	3
UNMC-16	2	2	1	5	2	1	3
UNMC-7	1	4	5	4	5	4	4
S92-5	2	3	5	6	4	5	5
UNMC-33	2	3	4	7	6	2	6
WCM062	2	1	1	5	1	1	1
GROUP4-9	2	2	2	5	2	5	6
UNMC-68-A2	2	2	2	6	2	5	6
M47-024	1	3	4	6	7	6	4
SPECS-3163	2	2	2	6	2	5	6
UNMC-5	2	2	1	5	2	1	6
S94-7	2	2	3	3	2	7	7
GROUP7-1	2	2	2	5	2	2	6
M47-027	2	2	2	5	2	5	6
SPECS-3155	2	2	2	5	2	5	6
GROUP7-15	1	3	6	7	8	8	8
WCM032	2	2	2	7	7	2	4
HUMC3	2	1	1	5	1	1	1
IA04	2	3	4	7	4	5	2
HUMC-15	4	5	3	3	3	7	7
IA1857	2	3	4	3	4	3	2
GROUP6-2	4	5	3	3	3	7	7
GROUP5-9	2	2	2	7	2	2	6
GROUP4-2	2	2	6	5	2	5	8
UNMC-62	2	3	4	6	4	5	5
SPECS-1917	2	3	2	6	2	5	5
IA2852	2	3	4	6	4	5	5
MCL-38	1	1	6	1	8	8	8
GROUP5-6	2	2	2	5	2	5	6
MCL-138	4	1	3	3	3	7	7
GROUP4-7	4	5	3	3	3	7	7
MCL-98	1	1	6	1	8	8	8
GROUP7-17	2	2	2	5	2	5	6
M47-029	2	3	4	7	6	2	6
M22-51	2	2	2	5	2	5	6
HUMC-6	2	2	4	5	2	5	1
S03-3	2	1	1	6	4	1	1
MCL-14	2	3	4	6	4	5	5
MCL-37	2	4	2	5	5	9	4
MCL-33	4	1	3	3	3	4	9
IA2268	2	5	3	5	3	7	7
GROUP4-1	2	2	2	5	2	5	6
GROUP4-4	2	2	2	5	2	5	6
MCL-40	2	2	2	5	2	5	6
GROUP7-13	1	1	1	2	1	1	2
UNMC-20	2	2	1	5	2	5	6
UNMC-69	4	5	3	3	3	7	2
