membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	1	2	2	2
HUMC-8	3	3	3	2	3	3	3
UNMC-81	1	1	1	3	1	1	1
UNMC-18	2	2	2	1	1	2	4
HUMC-7	4	4	4	4	4	4	5
UNMC-16	2	4	5	5	3	5	1
UNMC-7	2	2	6	6	5	2	6
S92-5	2	4	4	6	4	2	7
UNMC-33	2	2	6	6	6	2	6
WCM062	3	3	5	5	3	5	4
GROUP4-9	3	3	3	5	3	3	8
UNMC-68-A2	3	3	5	5	3	6	9
M47-024	2	2	2	1	7	7	6
SPECS-3163	3	3	5	5	3	6	9
UNMC-5	3	3	5	5	3	5	4
S94-7	3	3	5	5	3	5	4
GROUP7-1	3	3	5	5	3	3	8
M47-027	3	3	3	5	3	3	8
SPECS-3155	3	3	5	5	3	1	1
GROUP7-15	1	1	1	3	1	1	1
WCM032	3	2	5	6	7	7	10
HUMC3	3	5	5	1	3	5	4
IA04	2	2	2	6	2	7	6
HUMC-15	2	2	6	6	5	2	7
IA1857	3	1	5	5	3	1	1
GROUP6-2	3	4	5	5	2	8	10
GROUP5-9	2	2	6	6	6	2	6
GROUP4-2	3	1	5	5	3	5	4
UNMC-62	4	4	4	4	4	6	4
SPECS-1917	3	3	5	5	3	6	9
IA2852	4	4	4	4	4	6	5
MCL-38	1	1	1	3	1	1	1
GROUP5-6	3	3	5	5	3	5	4
MCL-138	2	5	2	1	2	8	2
GROUP4-7	3	3	5	5	3	2	4
MCL-98	1	1	1	3	1	1	1
GROUP7-17	3	3	5	5	3	3	8
M47-029	2	2	6	6	6	2	6
M22-51	3	3	5	5	3	5	4
HUMC-6	3	5	5	5	3	5	4
S03-3	3	5	5	1	7	9	3
MCL-14	4	4	4	4	4	6	5
MCL-37	2	2	6	6	3	3	7
MCL-33	2	5	2	1	2	8	2
IA2268	3	3	5	5	3	3	8
GROUP4-1	1	4	5	5	3	5	1
GROUP4-4	3	3	3	5	3	3	8
MCL-40	3	3	6	2	3	2	8
GROUP7-13	1	5	2	1	7	9	4
UNMC-20	1	4	5	5	3	5	4
UNMC-69	2	5	2	1	2	8	2
SPECS-3158	3	3	5	5	3	5	4
IA4227	2	5	2	1	2	8	2
GROUP6-4	1	1	2	1	2	1	1
GROUP6-3	3	3	5	5	3	5	4
UNMC-28	1	1	1	1	1	1	4
SPECS-3157	2	5	2	1	2	8	2
MCL-39	3	3	5	5	3	5	4
MCL-42	2	2	6	6	5	3	7
UNMC-90	3	3	5	5	3	3	3
UNMC-48	2	2	6	6	6	2	6
GROUP7-6	3	3	5	5	3	3	8
GROUP5-4	2	5	2	1	7	9	6
IA68	4	2	3	2	5	3	8
GROUP7-11	1	1	1	3	1	1	1
UNMC-6	1	1	3	2	3	3	8
SC86-6	2	2	6	2	5	3	7
IA4885	3	2	3	2	5	3	7
UNMC-55	2	2	6	2	5	2	6
UNMC-47	4	4	4	4	4	4	5
UNMC-87	4	4	4	4	4	4	5
GROUP7-9	2	4	4	1	3	3	8
GROUP7-20	4	4	4	4	4	4	5
GROUP5-10	4	4	4	4	4	4	5
UNMC-64	1	1	1	1	7	1	1
IA2745	1	1	1	3	1	5	1
HUMC4	4	4	4	4	4	4	5
UNMC-79-C1	2	2	6	6	5	2	6
IA2084	1	1	1	3	1	1	1
IA4203	2	2	6	6	5	2	6
IA1147	1	4	5	1	2	8	1
UNMC-61	3	5	5	5	3	9	9
MCL-128	1	1	1	3	1	1	1
GROUP7-14	1	1	3	2	3	3	3
GROUP4-6	2	5	2	1	8	9	8
GROUP7-2	1	1	2	1	1	1	3
HUMC5	3	3	3	5	3	3	8
MCL-35	1	1	1	3	1	1	1
MCL-75	4	4	4	4	4	6	9
UNMC-24	4	2	3	2	5	3	8
M47-023	4	2	3	2	5	3	8
UNMC-86	4	4	4	4	4	6	5
GROUP5-1	2	2	2	4	2	7	2
GROUP5-5	4	2	3	2	3	7	8
UNMC-8	2	5	2	1	2	8	2
GROUP6-1	1	1	1	3	8	1	6
UNMC-23	1	1	1	3	1	1	2
MCL-71	1	1	1	3	1	1	1
IA4289	2	2	2	6	2	7	2
S08-1	3	3	3	2	3	3	8
UNMC-84	3	2	3	2	3	3	8
SC02-11	2	5	3	1	5	8	7
UNMC-44	1	1	1	3	1	1	6
M47-022	2	2	3	2	5	3	3
BC04	2	2	3	2	5	3	7
HUMC-9	2	2	2	7	4	7	10
GROUP7-22	2	2	6	6	6	2	6
M47-3	1	4	4	4	4	6	5
UNMC-51	2	2	3	2	5	3	8
GROUP4-3	4	4	4	4	4	4	5
WCM045	2	4	4	4	6	4	5
UNMC-31	1	5	2	2	7	9	3
GROUP7-5	4	4	4	4	4	4	5
GROUP4-8	4	4	4	4	4	4	5
UNMC-97	2	5	2	1	2	8	2
HUMC1	4	5	5	7	7	3	4
MCL-61	2	5	2	1	7	9	3
S87-4	4	4	4	4	4	6	5
UNMC-85	3	3	3	2	3	3	8
SC08-2	4	3	4	5	4	6	9
S06-166	3	3	5	5	3	6	9
IA2334	4	4	4	4	4	6	5
MCL-122	4	4	4	4	4	6	5
GROUP5-3	1	1	1	3	1	5	1
GROUP5-7	1	1	1	3	1	1	1
S89-9	3	3	5	5	3	6	9
GROUP4-5	1	5	2	1	7	9	3
M47-025	3	3	3	5	3	3	8
IA834	3	3	5	5	3	6	9
HUMC-12	2	5	2	1	2	9	3
UNMC-88	1	1	1	3	1	1	1
GROUP4-11	2	5	2	1	2	8	5
UNMC-39	3	5	2	1	7	9	3
MCL-25	2	5	2	1	2	8	2
HUMC-10	1	1	2	3	1	1	1
GROUP7-19	1	1	2	3	2	8	1
GROUP5-8	1	1	2	5	8	9	4
SPECS-3164	2	2	6	6	5	3	6
UNMC-71-A5	2	2	6	6	5	2	6
MCL-24	1	1	1	3	1	1	1
UNMC-37	1	1	1	3	1	1	1
IA-02	1	1	1	3	1	1	1
GROUP7-3	2	5	2	1	2	8	2
S03-8	4	4	4	4	4	6	9
GROUP5-2	3	5	5	5	3	9	4
GROUP4-10	2	5	2	1	2	8	2
MCL-45	1	1	3	2	3	3	8
MCL-109	1	1	1	3	1	1	1
SC01-10	1	1	1	3	1	1	1
WCM041	2	2	6	6	6	2	6
MCL-146	2	2	6	6	6	2	6
MCL-126	3	3	5	5	3	6	9
