membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	1	1	2	2	2	2
HUMC-8	3	2	2	3	3	3	2
UNMC-81	1	1	1	4	4	1	3
UNMC-18	1	1	1	5	1	1	4
HUMC-7	2	2	3	2	2	2	5
UNMC-16	2	2	3	2	2	4	5
UNMC-7	2	3	4	2	5	5	6
S92-5	2	4	3	2	2	6	5
UNMC-33	2	5	5	6	6	7	7
WCM062	2	2	3	2	2	2	2
GROUP4-9	3	2	2	3	3	3	2
UNMC-68-A2	2	3	5	2	7	4	8
M47-024	1	3	4	7	5	7	6
SPECS-3163	2	3	5	2	7	7	8
UNMC-5	3	2	2	3	3	4	2
S94-7	2	3	5	2	7	4	8
GROUP7-1	3	2	2	3	3	3	2
M47-027	3	2	2	3	3	3	2
SPECS-3155	2	3	5	7	7	7	8
GROUP7-15	1	1	1	1	1	1	1
WCM032	2	4	6	4	4	8	9
HUMC3	3	2	2	5	3	4	10
IA04	2	5	5	6	6	7	7
HUMC-15	4	4	6	4	4	6	4
IA1857	3	2	5	2	5	6	9
GROUP6-2	4	4	6	4	4	6	4
GROUP5-9	3	2	5	3	6	4	7
GROUP4-2	3	2	2	3	3	1	1
UNMC-62	4	4	5	6	4	6	9
SPECS-1917	2	3	5	7	7	7	8
IA2852	3	2	5	6	5	7	8
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	3	2	2	4	2
MCL-138	4	4	1	4	4	6	4
GROUP4-7	4	4	6	4	3	6	4
MCL-98	1	1	1	1	1	1	1
GROUP7-17	3	2	2	3	3	3	2
M47-029	3	5	2	3	6	3	7
M22-51	3	2	2	3	3	4	2
HUMC-6	3	2	3	5	8	4	10
S03-3	1	1	1	5	8	8	10
MCL-14	3	4	3	2	2	8	10
MCL-37	2	5	4	6	5	7	6
MCL-33	4	4	1	4	8	6	4
IA2268	3	2	2	3	3	6	4
GROUP4-1	3	2	2	3	3	6	4
GROUP4-4	3	2	2	3	3	3	2
MCL-40	3	2	2	6	3	3	7
GROUP7-13	1	1	1	5	8	8	9
UNMC-20	2	5	5	6	6	4	7
UNMC-69	4	4	6	4	4	6	9
SPECS-3158	4	4	6	4	4	6	4
IA4227	2	5	5	6	6	8	3
GROUP6-4	1	1	1	4	4	6	4
GROUP6-3	4	4	6	4	4	6	4
UNMC-28	1	1	1	1	1	1	1
SPECS-3157	4	4	6	4	8	6	9
MCL-39	3	2	2	3	3	4	2
MCL-42	4	3	4	4	5	5	6
UNMC-90	3	2	2	3	3	8	10
UNMC-48	2	5	5	6	6	7	7
GROUP7-6	3	2	5	6	3	7	7
GROUP5-4	4	4	6	4	4	8	9
IA68	4	4	6	4	4	6	9
GROUP7-11	1	1	1	4	4	1	8
UNMC-6	3	2	2	3	3	3	9
SC86-6	4	3	2	6	5	5	6
IA4885	4	3	2	4	5	3	6
UNMC-55	4	3	6	4	4	6	9
UNMC-47	2	5	5	6	6	7	5
UNMC-87	2	5	5	6	6	8	3
GROUP7-9	2	5	5	6	6	8	3
GROUP7-20	2	3	3	2	2	2	5
GROUP5-10	2	3	3	2	2	2	5
UNMC-64	1	1	1	5	8	8	1
IA2745	1	1	2	1	1	3	1
HUMC4	2	3	3	2	2	2	5
UNMC-79-C1	2	5	5	6	5	7	7
IA2084	2	5	5	6	6	8	3
IA4203	2	5	5	6	6	7	5
IA1147	4	4	6	4	4	6	9
UNMC-61	4	4	6	4	4	6	4
MCL-128	1	1	1	1	1	1	1
GROUP7-14	1	3	2	3	2	3	2
GROUP4-6	4	3	5	4	4	6	9
GROUP7-2	1	1	1	1	1	1	1
HUMC5	3	2	2	3	3	3	2
MCL-35	1	1	1	1	1	1	1
MCL-75	4	4	6	4	4	6	4
UNMC-24	4	3	2	4	5	6	4
M47-023	4	2	2	6	5	3	6
UNMC-86	3	2	2	3	3	3	2
GROUP5-1	2	3	5	7	2	7	5
GROUP5-5	3	2	2	3	3	3	2
UNMC-8	4	1	1	4	8	8	3
GROUP6-1	1	1	1	1	1	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	4	3	3	5	2	9	5
S08-1	4	3	2	4	3	3	6
UNMC-84	3	2	2	3	5	3	6
SC02-11	4	4	6	4	4	5	6
UNMC-44	1	1	1	1	1	1	1
M47-022	4	3	2	4	5	5	6
BC04	4	3	2	4	5	5	6
HUMC-9	4	3	5	5	5	9	3
GROUP7-22	3	2	2	3	6	4	7
M47-3	3	3	1	1	2	9	2
UNMC-51	4	3	2	4	5	6	4
GROUP4-3	2	3	5	6	5	7	8
WCM045	2	3	5	6	6	6	7
UNMC-31	4	1	1	5	8	8	10
GROUP7-5	1	1	3	2	2	2	5
GROUP4-8	2	5	5	6	6	8	3
UNMC-97	4	4	5	5	8	8	3
HUMC1	4	3	3	5	2	9	5
MCL-61	1	1	1	5	8	8	10
S87-4	2	3	5	7	7	7	8
UNMC-85	3	2	2	6	3	3	10
SC08-2	2	3	5	6	5	7	7
S06-166	4	3	5	6	7	7	8
IA2334	2	2	5	6	5	7	8
MCL-122	2	3	5	3	5	9	8
GROUP5-3	1	1	1	1	2	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	2	3	5	7	7	7	8
GROUP4-5	1	1	1	5	8	8	1
M47-025	3	2	2	3	3	3	2
IA834	3	2	2	3	3	3	2
HUMC-12	1	1	1	4	8	8	10
UNMC-88	1	1	1	1	1	1	1
GROUP4-11	2	5	5	6	6	8	3
UNMC-39	1	1	1	5	8	8	10
MCL-25	2	4	6	5	6	8	10
HUMC-10	4	3	6	4	7	5	6
GROUP7-19	4	4	6	4	4	6	9
GROUP5-8	1	3	1	3	5	9	2
SPECS-3164	2	5	2	6	5	7	7
UNMC-71-A5	2	5	5	6	5	7	7
MCL-24	1	1	1	1	1	1	1
UNMC-37	1	1	1	1	1	1	1
IA-02	1	2	2	3	3	3	2
GROUP7-3	4	4	6	5	8	8	9
S03-8	4	3	3	5	2	9	5
GROUP5-2	1	1	1	5	8	8	10
GROUP4-10	4	4	6	4	4	6	4
MCL-45	1	1	2	3	3	3	2
MCL-109	1	1	1	1	1	1	1
SC01-10	1	1	1	1	1	1	1
WCM041	2	3	5	7	7	7	8
MCL-146	4	3	3	5	2	9	5
MCL-126	2	5	5	6	6	7	7
