membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	1	1	2	2
HUMC-8	1	2	2	1	1	2	1
UNMC-81	1	3	3	2	2	3	3
UNMC-18	2	2	2	3	3	2	4
HUMC-7	2	4	4	4	4	4	5
UNMC-16	2	2	5	3	3	5	2
UNMC-7	3	3	3	2	2	6	3
S92-5	3	5	4	4	5	7	6
UNMC-33	4	4	4	4	6	8	7
WCM062	2	2	2	1	1	2	2
GROUP4-9	2	2	2	1	1	2	6
UNMC-68-A2	3	5	6	5	5	7	8
M47-024	3	5	6	5	5	9	8
SPECS-3163	3	5	6	5	5	7	8
UNMC-5	2	2	2	1	1	2	2
S94-7	2	2	6	1	1	2	8
GROUP7-1	2	2	2	1	1	2	6
M47-027	2	2	2	1	1	2	2
SPECS-3155	3	5	6	5	5	7	8
GROUP7-15	1	1	4	6	7	1	3
WCM032	4	4	4	4	4	3	3
HUMC3	2	2	2	1	1	2	2
IA04	4	4	4	4	6	8	7
HUMC-15	2	3	5	2	3	6	4
IA1857	4	2	4	4	4	9	3
GROUP6-2	3	3	5	3	3	5	8
GROUP5-9	3	5	6	5	5	7	6
GROUP4-2	2	2	2	3	1	2	9
UNMC-62	2	2	4	4	4	4	5
SPECS-1917	3	5	6	5	5	7	8
IA2852	2	4	4	1	1	2	2
MCL-38	1	1	1	6	7	1	9
GROUP5-6	2	2	2	1	1	2	2
MCL-138	2	1	5	3	3	5	4
GROUP4-7	4	2	4	3	3	5	4
MCL-98	1	1	1	6	7	1	9
GROUP7-17	2	4	2	2	5	6	6
M47-029	4	4	4	4	6	8	7
M22-51	2	2	2	1	1	2	2
HUMC-6	2	2	2	1	1	2	2
S03-3	2	2	2	1	1	2	1
MCL-14	3	5	4	4	8	9	5
MCL-37	2	4	4	2	1	2	3
MCL-33	2	3	5	3	3	5	4
IA2268	2	2	5	3	3	5	4
GROUP4-1	2	2	2	3	3	5	6
GROUP4-4	2	4	4	1	1	2	2
MCL-40	4	4	4	4	6	8	7
GROUP7-13	1	1	2	1	1	2	10
UNMC-20	2	2	4	3	3	5	2
UNMC-69	2	3	5	3	3	6	4
SPECS-3158	2	5	6	5	5	7	8
IA4227	4	4	4	4	6	8	7
GROUP6-4	1	1	5	3	3	5	4
GROUP6-3	2	2	5	3	3	5	4
UNMC-28	1	1	1	1	1	1	9
SPECS-3157	3	3	5	3	8	5	10
MCL-39	2	2	2	1	1	2	2
MCL-42	2	3	3	2	2	6	3
UNMC-90	2	2	2	1	1	2	1
UNMC-48	4	4	4	4	6	8	7
GROUP7-6	4	4	4	4	1	2	2
GROUP5-4	1	1	5	7	8	3	10
IA68	1	3	3	2	2	3	3
GROUP7-11	1	1	5	7	8	3	10
UNMC-6	4	1	4	4	4	9	3
SC86-6	2	3	3	2	2	6	3
IA4885	2	3	3	2	2	6	3
UNMC-55	1	3	3	2	2	6	3
UNMC-47	4	4	4	4	6	8	7
UNMC-87	4	4	4	4	6	8	5
GROUP7-9	4	4	4	4	4	4	5
GROUP7-20	3	1	1	7	8	3	5
GROUP5-10	3	5	6	5	5	7	8
UNMC-64	1	1	2	1	8	2	1
IA2745	2	2	2	1	1	2	2
HUMC4	3	1	1	7	8	4	5
UNMC-79-C1	3	5	3	5	5	7	8
IA2084	4	4	4	4	6	8	5
IA4203	4	4	4	4	6	8	7
IA1147	2	3	5	3	3	5	10
UNMC-61	2	3	3	3	3	5	4
MCL-128	1	1	1	6	7	1	9
GROUP7-14	1	3	3	2	2	6	3
GROUP4-6	1	1	5	7	8	3	10
GROUP7-2	1	1	1	1	1	1	1
HUMC5	2	2	2	1	1	2	6
MCL-35	1	1	1	6	7	1	9
MCL-75	2	3	5	3	3	5	4
UNMC-24	2	3	4	4	4	4	3
M47-023	4	3	3	2	2	6	3
UNMC-86	3	5	4	4	5	9	6
GROUP5-1	3	5	6	5	5	7	6
GROUP5-5	4	1	4	4	4	9	3
UNMC-8	1	1	1	7	8	3	10
GROUP6-1	1	1	1	6	7	1	9
UNMC-23	1	1	1	6	7	1	9
MCL-71	4	1	1	6	7	1	9
IA4289	4	1	4	4	4	9	3
S08-1	3	5	3	2	2	6	8
UNMC-84	1	3	3	2	2	6	3
SC02-11	3	3	5	3	8	4	8
UNMC-44	4	4	4	4	6	8	3
M47-022	2	3	3	2	2	6	3
BC04	2	3	3	2	2	6	3
HUMC-9	3	5	6	5	5	7	6
GROUP7-22	3	4	4	2	5	7	6
M47-3	3	1	1	7	8	9	5
UNMC-51	2	3	3	2	2	6	3
GROUP4-3	4	4	4	4	4	4	5
WCM045	4	4	4	4	4	4	5
UNMC-31	1	1	2	1	8	2	1
