membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	2	2	2	2	2	2
HUMC-8	2	3	3	3	3	3	3
UNMC-81	1	2	2	4	4	4	4
UNMC-18	1	1	1	3	1	2	2
HUMC-7	2	4	4	5	5	5	5
UNMC-16	3	2	3	3	6	6	3
UNMC-7	2	4	5	6	7	3	4
S92-5	3	2	2	5	6	5	6
UNMC-33	3	2	2	5	2	7	2
WCM062	2	3	3	7	3	6	3
GROUP4-9	2	3	3	3	3	6	3
UNMC-68-A2	2	4	5	7	5	8	7
M47-024	2	4	5	6	5	3	7
SPECS-3163	2	4	5	7	5	8	7
UNMC-5	2	3	3	3	3	6	3
S94-7	2	4	5	7	5	8	7
GROUP7-1	2	3	3	3	3	7	2
M47-027	2	3	3	3	3	3	3
SPECS-3155	2	4	5	7	5	8	7
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	2	4	5	4	4	8
HUMC3	2	3	3	3	3	6	9
IA04	3	2	2	2	2	2	2
HUMC-15	3	2	2	2	6	2	6
IA1857	1	3	3	1	1	9	3
GROUP6-2	3	4	5	4	4	2	8
GROUP5-9	2	3	3	3	5	9	2
GROUP4-2	1	3	3	1	1	1	4
UNMC-62	2	2	2	3	6	6	3
SPECS-1917	2	4	5	7	5	8	7
IA2852	1	4	2	5	2	7	2
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	3	3	3	3	6	3
MCL-138	3	2	2	2	6	2	6
GROUP4-7	3	2	2	2	6	2	6
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	3	3	3	3	3	3
M47-029	1	2	2	5	2	7	2
M22-51	2	3	3	3	3	6	3
HUMC-6	2	3	3	3	3	6	3
S03-3	1	3	3	3	3	6	9
MCL-14	2	4	4	5	3	5	10
MCL-37	2	3	3	3	3	6	3
MCL-33	3	2	2	2	2	2	2
IA2268	2	3	3	3	3	3	3
GROUP4-1	1	1	1	1	1	1	1
GROUP4-4	2	3	3	3	3	6	3
MCL-40	2	3	3	7	3	3	3
GROUP7-13	1	1	3	3	3	4	8
UNMC-20	3	2	3	3	3	6	3
UNMC-69	3	2	2	2	4	2	6
SPECS-3158	2	4	5	7	5	8	7
IA4227	3	2	2	2	2	2	2
GROUP6-4	1	1	1	2	6	2	6
GROUP6-3	3	2	2	2	6	2	6
UNMC-28	1	1	1	1	1	1	1
SPECS-3157	3	2	2	2	4	2	2
MCL-39	2	3	3	3	3	6	3
MCL-42	4	3	6	6	7	3	4
UNMC-90	2	3	3	3	3	6	9
UNMC-48	3	2	2	2	4	4	8
GROUP7-6	2	3	3	3	3	6	3
GROUP5-4	3	2	2	2	4	4	8
IA68	4	2	2	6	4	4	6
GROUP7-11	1	1	1	4	1	4	8
UNMC-6	2	3	1	7	3	3	3
SC86-6	1	3	6	6	7	3	4
IA4885	2	3	6	6	7	3	4
UNMC-55	4	2	2	6	7	4	4
UNMC-47	2	4	4	5	2	5	5
UNMC-87	3	2	2	2	2	2	2
GROUP7-9	2	2	4	2	5	3	2
GROUP7-20	2	4	4	5	5	5	5
GROUP5-10	2	4	4	5	5	5	5
UNMC-64	1	1	1	1	1	1	1
IA2745	1	3	3	3	1	6	3
HUMC4	2	3	3	3	3	6	3
UNMC-79-C1	2	4	5	6	5	3	7
IA2084	1	2	2	1	1	2	2
IA4203	2	4	5	5	2	7	2
IA1147	3	2	2	2	4	2	8
UNMC-61	3	2	2	4	6	2	6
MCL-128	1	1	1	1	1	1	1
GROUP7-14	2	3	3	6	3	3	3
GROUP4-6	3	5	2	3	4	4	8
GROUP7-2	1	1	1	1	1	1	1
HUMC5	2	3	3	6	3	3	3
MCL-35	1	1	1	1	1	1	1
MCL-75	3	2	2	2	6	2	6
UNMC-24	4	4	4	6	7	3	4
M47-023	2	3	6	6	7	3	4
UNMC-86	2	4	4	5	3	5	10
GROUP5-1	2	4	4	5	2	5	5
GROUP5-5	2	4	4	5	2	5	5
UNMC-8	1	1	1	2	4	1	1
GROUP6-1	1	1	1	1	1	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	2	4	4	5	2	5	5
S08-1	2	3	6	6	7	3	4
UNMC-84	2	3	6	6	7	3	4
SC02-11	3	2	5	4	4	4	8
UNMC-44	1	1	1	1	1	1	1
M47-022	4	3	6	6	7	3	4
BC04	4	3	6	6	7	3	4
HUMC-9	1	4	4	5	7	9	10
GROUP7-22	2	3	3	3	8	9	2
M47-3	1	4	4	5	1	5	10
UNMC-51	4	3	6	6	7	3	4
GROUP4-3	2	4	4	5	2	5	10
WCM045	2	4	4	5	5	5	5
UNMC-31	1	5	4	3	3	6	9
GROUP7-5	2	4	4	7	5	3	5
GROUP4-8	2	4	4	5	5	5	5
UNMC-97	3	2	2	2	4	2	2
HUMC1	2	4	4	5	5	5	4
MCL-61	1	5	4	3	3	6	9
S87-4	2	4	5	7	5	5	7
UNMC-85	2	3	3	7	3	3	3
SC08-2	2	4	4	7	3	5	10
S06-166	2	4	5	7	5	8	7
IA2334	2	4	4	5	2	5	10
MCL-122	2	4	4	5	2	5	10
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	2	4	5	7	5	8	7
GROUP4-5	1	1	1	3	1	1	9
M47-025	2	3	3	7	3	3	3
IA834	2	4	3	7	3	7	3
HUMC-12	1	1	1	3	3	2	1
UNMC-88	1	1	1	1	1	1	1
GROUP4-11	3	2	2	2	4	4	8
UNMC-39	1	5	3	3	3	6	9
MCL-25	3	2	2	2	4	2	2
HUMC-10	2	4	5	4	5	4	8
GROUP7-19	3	2	2	2	4	2	8
GROUP5-8	1	3	3	3	8	7	10
SPECS-3164	2	2	2	5	2	7	2
UNMC-71-A5	2	4	5	5	5	7	7
MCL-24	1	1	1	1	1	1	1
UNMC-37	1	1	1	1	1	1	1
IA-02	1	1	1	4	4	4	8
GROUP7-3	3	2	2	2	4	2	8
S03-8	3	4	2	5	8	5	5
GROUP5-2	1	3	3	3	3	6	3
GROUP4-10	3	2	2	2	6	2	6
MCL-45	1	3	1	7	3	3	3
MCL-109	1	1	1	1	1	1	1
SC01-10	1	1	1	1	1	1	1
WCM041	2	4	5	5	2	7	7
MCL-146	3	2	2	5	2	7	2
MCL-126	2	4	3	7	3	8	3
