membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	2	2	2	2
HUMC-8	3	3	3	3	3	3	3
UNMC-81	4	1	2	1	4	4	4
UNMC-18	2	2	2	4	5	5	3
HUMC-7	3	2	4	5	6	6	5
UNMC-16	3	3	4	4	5	6	6
UNMC-7	1	1	5	3	4	4	4
S92-5	2	4	6	6	7	7	7
UNMC-33	2	2	4	4	6	1	5
WCM062	3	3	3	1	5	5	6
GROUP4-9	3	3	3	4	3	5	8
UNMC-68-A2	3	3	3	7	5	5	6
M47-024	1	1	4	1	8	7	4
SPECS-3163	3	3	3	4	5	5	6
UNMC-5	3	3	3	4	5	5	6
S94-7	3	3	3	4	5	5	6
GROUP7-1	3	3	3	4	3	5	8
M47-027	3	3	3	4	3	5	8
SPECS-3155	3	3	3	1	5	5	8
GROUP7-15	1	1	1	1	1	4	2
WCM032	2	5	2	2	2	2	9
HUMC3	3	3	3	1	5	3	3
IA04	2	5	2	4	8	7	1
HUMC-15	2	2	5	4	7	1	1
IA1857	3	4	6	6	8	7	10
GROUP6-2	4	5	2	2	2	2	9
GROUP5-9	2	2	4	4	7	7	1
GROUP4-2	3	3	3	1	1	5	6
UNMC-62	3	4	6	6	8	7	10
SPECS-1917	3	3	6	7	8	7	10
IA2852	3	4	4	6	8	7	10
MCL-38	1	1	1	1	1	4	2
GROUP5-6	3	3	3	4	5	5	6
MCL-138	2	5	2	2	2	2	7
GROUP4-7	3	2	4	4	7	5	1
MCL-98	1	1	1	1	1	4	2
GROUP7-17	3	3	3	4	3	8	8
M47-029	2	2	4	4	7	1	1
M22-51	3	3	3	4	5	5	6
HUMC-6	3	3	2	1	5	5	6
S03-3	3	3	3	1	5	3	3
MCL-14	3	4	6	6	8	7	10
MCL-37	1	1	3	4	4	9	4
MCL-33	2	5	2	2	2	2	7
IA2268	3	3	3	4	5	5	6
GROUP4-1	3	3	3	1	5	5	4
GROUP4-4	3	3	3	4	3	8	6
MCL-40	2	2	4	4	7	8	8
GROUP7-13	4	5	3	2	2	2	9
UNMC-20	3	3	3	4	5	5	6
UNMC-69	2	5	2	2	2	2	7
SPECS-3158	3	3	3	4	5	5	4
IA4227	2	2	4	2	2	1	7
GROUP6-4	4	5	3	1	5	3	3
GROUP6-3	3	3	3	4	5	5	6
UNMC-28	1	1	1	1	1	3	4
SPECS-3157	2	5	2	2	2	2	7
MCL-39	3	3	3	4	5	5	6
MCL-42	1	1	5	3	4	9	4
UNMC-90	3	3	3	1	5	3	3
UNMC-48	2	2	4	4	7	1	1
GROUP7-6	3	3	3	4	5	1	6
GROUP5-4	4	5	2	2	2	2	9
IA68	4	5	5	2	2	9	9
GROUP7-11	4	5	1	2	2	4	9
UNMC-6	3	3	6	2	3	2	8
SC86-6	2	1	4	3	4	9	4
IA4885	3	3	5	3	3	9	4
UNMC-55	1	1	5	3	4	9	4
UNMC-47	2	2	4	5	6	1	1
UNMC-87	2	2	4	5	2	6	5
GROUP7-9	2	3	3	3	3	8	8
GROUP7-20	3	2	4	5	6	6	5
GROUP5-10	1	2	4	5	6	6	5
UNMC-64	4	1	3	1	5	3	3
IA2745	3	2	3	5	5	5	5
HUMC4	3	2	4	5	6	6	5
UNMC-79-C1	2	1	4	3	4	9	4
IA2084	2	2	4	5	2	6	5
IA4203	2	2	4	5	6	1	5
IA1147	4	5	2	2	2	2	9
UNMC-61	3	3	3	4	5	3	5
MCL-128	1	1	1	1	1	4	2
GROUP7-14	3	3	5	3	3	9	4
GROUP4-6	4	5	5	2	5	2	9
GROUP7-2	3	3	3	1	5	3	3
HUMC5	3	3	3	4	3	5	8
MCL-35	3	3	1	1	3	8	8
MCL-75	3	3	1	1	5	5	8
UNMC-24	3	3	5	3	3	9	4
M47-023	3	3	5	3	3	9	4
UNMC-86	3	4	4	6	8	7	10
GROUP5-1	2	4	4	7	7	7	7
GROUP5-5	3	3	4	5	3	8	8
UNMC-8	4	1	2	2	2	2	7
GROUP6-1	1	1	1	7	7	4	2
UNMC-23	1	1	1	1	1	4	2
MCL-71	1	1	1	1	1	4	2
IA4289	3	3	4	1	8	4	2
S08-1	3	3	3	3	3	9	4
UNMC-84	3	3	3	3	3	9	4
SC02-11	4	5	2	2	2	2	9
UNMC-44	2	2	4	3	7	1	1
M47-022	3	3	5	3	3	9	4
BC04	1	1	5	3	4	9	4
HUMC-9	2	4	6	7	7	7	7
GROUP7-22	2	2	4	4	7	7	1
M47-3	3	4	4	6	8	7	10
UNMC-51	2	3	5	3	3	9	4
GROUP4-3	3	2	4	6	8	7	10
WCM045	3	2	4	4	7	1	1
UNMC-31	3	3	3	1	5	3	3
GROUP7-5	3	3	3	3	3	8	8
GROUP4-8	2	2	4	5	2	6	5
UNMC-97	4	5	2	1	2	2	7
HUMC1	3	3	5	3	3	9	4
MCL-61	3	3	3	1	5	3	3
S87-4	3	4	4	6	8	7	10
UNMC-85	3	4	6	6	7	7	10
SC08-2	2	4	6	6	7	7	10
S06-166	1	1	5	3	4	9	4
IA2334	3	2	4	6	8	7	10
MCL-122	3	4	4	6	8	7	10
GROUP5-3	3	3	3	4	5	5	6
GROUP5-7	1	1	4	5	8	6	10
S89-9	2	4	6	7	7	7	7
GROUP4-5	3	3	3	1	5	3	3
M47-025	3	3	3	3	3	5	8
IA834	3	3	3	3	3	8	8
HUMC-12	4	3	3	1	5	3	3
UNMC-88	4	3	3	1	5	3	3
GROUP4-11	2	5	4	2	2	6	9
UNMC-39	3	3	3	1	5	3	3
MCL-25	4	5	2	2	2	2	9
HUMC-10	4	5	2	2	2	2	9
GROUP7-19	4	5	1	2	2	2	9
GROUP5-8	2	4	6	7	7	7	7
SPECS-3164	2	2	4	3	6	9	1
UNMC-71-A5	2	2	4	3	6	1	1
MCL-24	1	1	1	1	1	4	2
UNMC-37	1	1	1	1	1	4	2
IA-02	4	5	1	1	2	2	9
GROUP7-3	4	5	2	2	2	2	9
S03-8	4	5	1	5	8	6	10
GROUP5-2	3	3	3	1	5	3	6
GROUP4-10	4	5	2	4	2	2	9
MCL-45	3	3	3	3	3	8	8
MCL-109	1	1	1	1	1	4	2
