membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	2	2	2	2	2
HUMC-8	2	2	3	3	3	3	3
UNMC-81	3	3	4	2	2	4	4
UNMC-18	1	1	1	1	1	1	1
HUMC-7	3	4	2	2	4	5	2
UNMC-16	3	4	2	3	5	6	5
UNMC-7	3	4	5	2	2	7	6
S92-5	3	2	2	4	2	8	7
UNMC-33	3	4	2	2	4	5	2
WCM062	2	2	3	3	5	3	5
GROUP4-9	2	2	3	3	3	3	3
UNMC-68-A2	2	2	2	3	6	3	8
M47-024	3	5	5	4	7	7	6
SPECS-3163	2	2	3	3	5	3	8
UNMC-5	2	2	3	3	5	3	5
S94-7	2	2	3	3	5	3	5
GROUP7-1	2	2	3	3	3	3	3
M47-027	2	2	3	3	3	3	3
SPECS-3155	2	2	1	3	1	1	1
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	2	2	2	2	2	7
HUMC3	2	2	3	3	5	3	5
IA04	2	2	3	2	4	9	9
HUMC-15	3	5	5	5	7	7	6
IA1857	1	2	3	1	1	2	3
GROUP6-2	4	3	4	5	8	4	4
GROUP5-9	3	2	3	4	6	8	7
GROUP4-2	1	2	3	6	3	7	3
UNMC-62	2	2	3	3	5	3	5
SPECS-1917	2	2	3	3	6	3	8
IA2852	2	2	3	7	5	2	8
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	3	3	5	3	5
MCL-138	4	3	5	5	7	6	10
GROUP4-7	2	2	3	3	5	3	5
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	2	3	3	3	3	3
M47-029	1	2	3	3	4	3	9
M22-51	2	2	3	3	5	3	5
HUMC-6	2	2	3	3	5	3	5
S03-3	2	2	3	3	5	3	5
MCL-14	2	2	3	3	5	3	5
MCL-37	2	5	5	3	5	7	6
MCL-33	4	3	1	5	7	6	10
IA2268	2	2	3	3	3	3	3
GROUP4-1	2	2	3	6	3	3	3
GROUP4-4	2	2	3	3	3	3	3
MCL-40	2	2	3	3	3	3	3
GROUP7-13	4	3	4	5	8	4	4
UNMC-20	3	4	3	3	5	6	5
UNMC-69	4	3	4	5	8	4	4
SPECS-3158	2	2	3	3	3	3	3
IA4227	2	2	3	2	4	5	2
GROUP6-4	4	3	1	5	7	1	10
GROUP6-3	2	2	3	3	5	3	5
UNMC-28	1	1	1	1	1	7	1
SPECS-3157	4	3	4	5	8	4	4
MCL-39	2	2	3	3	5	3	5
MCL-42	3	5	5	6	7	7	6
UNMC-90	2	2	3	3	5	3	10
UNMC-48	2	2	3	3	4	9	9
GROUP7-6	2	2	3	3	5	5	5
GROUP5-4	4	3	4	5	8	4	4
IA68	3	3	4	2	8	4	4
GROUP7-11	1	1	4	5	1	4	4
UNMC-6	1	1	6	5	3	3	3
