membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	2	1	1	2	2
HUMC-8	2	2	2	2	2	3	3
UNMC-81	3	3	3	3	2	4	4
UNMC-18	1	1	4	1	1	5	1
HUMC-7	3	4	5	4	3	6	5
UNMC-16	2	5	2	5	4	2	2
UNMC-7	3	3	3	6	2	4	6
S92-5	3	4	4	4	5	7	7
UNMC-33	2	4	5	4	6	6	4
WCM062	2	2	2	5	4	8	2
GROUP4-9	2	2	2	5	4	3	8
UNMC-68-A2	2	2	2	5	5	9	2
M47-024	3	4	6	6	2	9	6
SPECS-3163	2	2	2	5	5	9	6
UNMC-5	2	2	2	5	4	2	2
S94-7	2	2	2	5	5	9	6
GROUP7-1	2	2	2	5	4	3	8
M47-027	2	2	2	5	4	3	8
SPECS-3155	3	4	6	6	5	9	6
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	5	4	3	7	4	4
HUMC3	2	2	2	2	4	8	2
IA04	4	5	4	5	4	2	5
HUMC-15	4	5	4	7	7	5	9
IA1857	2	1	6	4	3	3	5
GROUP6-2	4	5	4	7	7	5	9
GROUP5-9	3	4	6	5	5	7	7
GROUP4-2	1	1	2	1	4	1	1
UNMC-62	3	4	6	4	3	7	5
SPECS-1917	3	4	6	6	5	7	5
IA2852	3	4	6	4	3	7	5
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	2	5	4	2	2
MCL-138	4	5	4	7	7	5	9
GROUP4-7	4	5	4	5	4	2	9
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	2	2	5	4	3	8
M47-029	2	1	4	5	4	2	5
M22-51	2	2	2	5	4	2	2
HUMC-6	2	2	2	2	4	2	2
S03-3	2	2	1	2	4	8	3
MCL-14	3	4	6	4	3	7	7
MCL-37	2	5	2	6	4	2	2
MCL-33	4	5	4	7	7	5	9
IA2268	2	2	2	5	4	3	9
GROUP4-1	1	1	4	5	4	1	8
GROUP4-4	2	2	2	5	4	3	8
MCL-40	2	2	2	5	4	3	8
GROUP7-13	1	1	1	2	4	8	2
UNMC-20	4	5	4	5	4	2	2
UNMC-69	4	5	4	7	7	5	9
SPECS-3158	4	4	6	6	5	9	6
IA4227	4	4	4	7	7	2	9
GROUP6-4	1	5	4	7	7	5	9
GROUP6-3	4	5	4	7	7	5	9
UNMC-28	1	2	1	1	1	1	6
SPECS-3157	4	5	4	7	7	5	9
MCL-39	2	2	2	5	4	2	8
MCL-42	3	3	3	6	2	4	6
UNMC-90	2	2	2	2	8	8	3
UNMC-48	4	5	4	5	4	2	5
GROUP7-6	2	2	2	4	4	2	2
GROUP5-4	2	2	2	5	6	8	4
IA68	3	5	3	7	7	4	4
GROUP7-11	1	1	1	1	1	1	6
UNMC-6	2	1	1	1	1	3	8
SC86-6	3	3	3	3	2	4	4
IA4885	3	3	2	3	2	4	6
UNMC-55	3	3	3	3	2	4	4
UNMC-47	3	4	5	4	3	6	5
UNMC-87	3	4	5	4	3	6	5
GROUP7-9	3	4	5	4	6	6	8
GROUP7-20	3	4	5	4	6	6	4
GROUP5-10	3	4	5	4	5	6	4
UNMC-64	1	1	1	1	1	8	3
IA2745	1	1	1	1	4	1	8
HUMC4	3	4	5	4	6	6	4
UNMC-79-C1	3	4	6	6	5	9	6
IA2084	1	1	1	1	1	1	1
IA4203	3	4	5	4	6	6	4
IA1147	4	5	4	7	7	5	9
UNMC-61	3	5	3	7	7	5	4
MCL-128	1	1	1	1	1	1	1
GROUP7-14	1	2	1	3	2	3	8
GROUP4-6	2	4	2	3	2	8	10
GROUP7-2	1	1	1	1	1	8	1
HUMC5	2	2	2	5	4	3	8
MCL-35	1	1	1	1	1	1	1
MCL-75	4	5	4	7	7	5	9
UNMC-24	3	3	5	3	2	3	4
M47-023	3	3	2	3	2	3	8
UNMC-86	3	4	6	4	3	7	5
GROUP5-1	3	4	6	6	5	7	7
GROUP5-5	2	2	2	5	4	3	8
UNMC-8	1	1	1	1	8	5	3
GROUP6-1	1	1	1	1	1	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	3	4	4	4	3	6	5
S08-1	2	2	2	3	4	3	8
UNMC-84	2	2	2	3	4	3	8
SC02-11	3	3	3	7	2	5	9
UNMC-44	1	1	1	1	1	1	1
M47-022	3	3	3	3	2	4	4
BC04	3	3	3	3	2	4	6
HUMC-9	3	4	6	4	5	7	7
GROUP7-22	3	4	6	5	5	7	7
M47-3	1	1	1	1	3	1	10
UNMC-51	3	3	3	3	2	4	6
GROUP4-3	3	4	6	4	3	7	5
WCM045	4	4	4	4	3	8	4
UNMC-31	1	2	1	2	8	8	3
GROUP7-5	3	4	5	4	3	6	5
GROUP4-8	3	4	5	4	3	7	5
UNMC-97	1	5	1	2	8	5	3
HUMC1	2	2	2	5	6	8	4
MCL-61	3	2	1	2	8	8	3
S87-4	3	4	6	4	3	7	5
UNMC-85	2	2	2	4	5	3	7
SC08-2	3	4	6	4	5	7	7
S06-166	3	4	6	6	5	9	6
IA2334	3	4	6	4	3	7	5
MCL-122	3	4	6	4	3	7	5
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	3	4	6	6	5	9	7
GROUP4-5	1	1	1	1	1	8	3
M47-025	2	2	2	5	4	3	8
IA834	2	2	2	5	4	3	8
HUMC-12	1	5	1	2	8	5	3
UNMC-88	1	1	1	2	8	8	3
GROUP4-11	3	4	6	7	8	7	7
UNMC-39	1	2	1	2	8	8	3
MCL-25	4	5	4	7	7	5	9
HUMC-10	1	1	3	6	2	9	6
GROUP7-19	1	5	4	7	7	5	9
GROUP5-8	2	2	2	5	4	7	8
SPECS-3164	3	4	4	4	3	6	5
UNMC-71-A5	3	4	6	6	5	9	6
MCL-24	1	1	1	1	1	1	1
UNMC-37	1	1	1	1	1	1	1
IA-02	1	1	1	1	1	1	1
GROUP7-3	1	5	1	2	8	5	3
S03-8	3	4	4	4	3	6	5
GROUP5-2	2	2	2	2	4	8	2
GROUP4-10	4	5	4	7	7	5	9
MCL-45	1	2	1	1	4	3	8
MCL-109	1	1	1	1	1	1	1
SC01-10	1	1	1	1	1	1	6
WCM041	3	4	6	6	5	9	6
MCL-146	3	4	4	4	3	6	5
MCL-126	2	2	2	5	4	2	2
