membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	1	1	1	1	1
HUMC-8	2	2	2	2	2	2	1
UNMC-81	2	3	3	3	3	2	2
UNMC-18	1	1	1	1	1	1	1
HUMC-7	2	4	4	4	4	3	3
UNMC-16	1	1	2	5	1	4	4
UNMC-7	2	4	5	4	3	2	2
S92-5	3	5	4	6	5	5	5
UNMC-33	2	4	4	4	4	3	5
WCM062	1	1	1	1	1	1	1
GROUP4-9	4	2	2	5	2	4	4
UNMC-68-A2	3	5	6	6	6	6	6
M47-024	3	5	6	6	6	6	6
SPECS-3163	3	5	6	6	6	6	6
UNMC-5	1	1	1	1	1	4	4
S94-7	3	5	6	6	6	6	4
GROUP7-1	4	2	2	5	2	4	4
M47-027	4	2	2	5	1	4	4
SPECS-3155	3	5	6	6	6	6	6
GROUP7-15	2	2	3	3	7	7	7
WCM032	3	5	6	6	5	5	5
HUMC3	1	1	1	1	1	1	1
IA04	4	2	4	5	5	4	5
HUMC-15	2	2	5	4	5	8	8
IA1857	4	2	2	5	1	4	7
GROUP6-2	3	5	6	6	6	6	6
GROUP5-9	3	5	4	6	5	5	5
GROUP4-2	2	2	2	5	2	9	4
UNMC-62	4	2	2	5	1	4	7
SPECS-1917	3	5	6	6	6	6	6
IA2852	4	2	2	5	1	4	7
MCL-38	2	3	3	3	3	7	9
GROUP5-6	4	2	2	5	1	4	4
MCL-138	1	1	1	7	5	8	8
GROUP4-7	4	2	4	5	5	5	5
MCL-98	1	1	3	3	7	7	9
GROUP7-17	4	2	2	5	2	9	4
M47-029	2	4	4	4	5	5	5
M22-51	4	2	2	5	2	4	4
HUMC-6	1	1	2	1	1	4	4
S03-3	1	1	1	1	1	1	1
MCL-14	4	2	2	5	1	4	4
MCL-37	4	2	2	5	1	2	4
MCL-33	1	1	1	7	1	1	1
IA2268	4	2	2	5	2	4	4
GROUP4-1	2	2	2	5	2	9	4
GROUP4-4	4	2	2	5	2	4	4
MCL-40	2	4	4	4	4	5	8
GROUP7-13	1	1	1	1	1	1	4
UNMC-20	1	1	2	5	1	4	4
UNMC-69	1	1	5	7	8	8	8
SPECS-3158	3	5	6	6	6	6	6
IA4227	3	5	6	6	5	5	5
GROUP6-4	1	1	1	7	1	1	8
GROUP6-3	1	1	2	5	1	4	4
UNMC-28	1	1	1	1	1	1	1
SPECS-3157	3	5	6	6	6	6	6
MCL-39	4	2	2	5	1	4	4
MCL-42	2	2	5	4	3	2	2
UNMC-90	1	1	1	1	1	1	1
UNMC-48	3	4	4	4	5	5	5
GROUP7-6	4	2	2	5	2	4	5
GROUP5-4	1	1	1	1	8	8	8
IA68	2	2	2	2	3	2	2
GROUP7-11	2	3	3	3	7	6	3
UNMC-6	2	2	3	5	8	4	7
SC86-6	2	2	2	2	3	2	2
IA4885	2	2	2	2	3	2	2
UNMC-55	2	4	4	2	3	2	2
UNMC-47	2	4	4	4	5	3	5
UNMC-87	2	4	4	4	4	3	3
GROUP7-9	2	4	4	4	2	2	10
GROUP7-20	2	4	4	4	4	3	3
GROUP5-10	3	4	4	4	4	3	3
UNMC-64	1	1	1	1	1	1	4
IA2745	2	3	3	5	2	9	4
HUMC4	2	4	4	4	4	3	3
UNMC-79-C1	2	4	4	4	4	5	5
IA2084	2	4	3	3	4	3	3
IA4203	2	4	4	4	4	3	3
IA1147	1	3	5	7	8	8	8
UNMC-61	3	5	6	6	2	6	6
MCL-128	2	3	3	3	7	7	9
GROUP7-14	2	2	2	2	3	2	2
GROUP4-6	3	5	2	1	8	9	7
GROUP7-2	1	1	1	1	1	1	1
HUMC5	4	2	2	5	2	9	4
MCL-35	2	3	3	3	7	7	9
MCL-75	3	5	6	7	4	3	7
UNMC-24	2	2	2	2	3	2	2
M47-023	2	2	2	2	3	2	2
UNMC-86	4	2	2	5	2	9	4
GROUP5-1	3	5	6	6	6	5	5
GROUP5-5	4	2	2	5	2	4	4
UNMC-8	2	3	1	3	4	8	9
GROUP6-1	2	4	3	4	7	5	5
UNMC-23	2	3	3	1	7	7	9
MCL-71	2	3	3	3	7	7	9
IA4289	3	5	6	7	4	3	7
S08-1	3	5	2	2	3	6	2
UNMC-84	2	2	2	2	3	2	2
SC02-11	3	2	6	6	6	6	6
UNMC-44	2	4	2	4	7	5	5
M47-022	2	2	2	2	3	2	2
BC04	2	2	2	2	3	2	2
HUMC-9	3	5	4	6	5	5	5
GROUP7-22	3	4	4	6	5	5	5
M47-3	2	4	2	2	7	9	7
UNMC-51	2	2	2	2	3	2	2
GROUP4-3	3	5	6	7	4	3	7
WCM045	3	5	6	1	6	6	5
UNMC-31	1	1	1	1	1	1	1
GROUP7-5	3	5	4	2	4	3	3
GROUP4-8	2	1	1	2	3	8	8
UNMC-97	1	1	1	1	1	1	1
HUMC1	1	1	1	1	1	2	10
MCL-61	1	1	1	1	1	1	1
S87-4	3	5	6	6	6	6	6
UNMC-85	3	5	4	6	5	5	5
SC08-2	3	5	6	6	6	6	5
S06-166	3	5	6	6	6	6	6
IA2334	3	5	6	7	4	3	7
MCL-122	3	5	2	5	7	9	7
GROUP5-3	1	1	2	1	1	4	4
GROUP5-7	2	3	3	3	7	7	9
S89-9	3	5	6	6	6	6	6
GROUP4-5	1	1	1	1	1	1	1
M47-025	3	5	6	5	1	6	4
