membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	1	1	1	1	2
HUMC-8	2	2	1	2	2	2	1
UNMC-81	1	3	2	3	3	3	3
UNMC-18	1	1	1	1	1	4	4
HUMC-7	3	2	2	4	4	2	5
UNMC-16	4	4	3	5	2	5	2
UNMC-7	2	2	2	2	5	3	3
S92-5	4	5	4	6	6	6	6
UNMC-33	3	2	3	2	4	2	7
WCM062	1	1	1	1	2	7	2
GROUP4-9	4	4	3	5	2	5	4
UNMC-68-A2	4	5	4	6	2	7	6
M47-024	4	5	1	2	5	8	8
SPECS-3163	4	5	4	6	2	7	6
UNMC-5	4	4	3	5	2	5	2
S94-7	4	4	3	7	7	4	9
GROUP7-1	4	4	4	5	2	5	4
M47-027	4	4	3	5	2	5	2
SPECS-3155	4	4	3	5	2	5	2
GROUP7-15	2	3	5	3	8	9	8
WCM032	4	5	4	6	8	8	6
HUMC3	4	1	1	1	2	7	2
IA04	4	3	5	3	8	8	5
HUMC-15	4	4	3	7	7	4	9
IA1857	2	5	5	3	6	8	5
GROUP6-2	4	4	3	7	7	4	9
GROUP5-9	4	5	4	6	6	6	4
GROUP4-2	2	4	3	5	2	5	4
UNMC-62	4	5	4	4	6	6	5
SPECS-1917	4	5	4	6	2	7	6
IA2852	4	5	4	4	6	6	5
MCL-38	2	3	5	3	3	9	8
GROUP5-6	4	4	3	5	2	5	2
MCL-138	4	4	1	1	7	4	9
GROUP4-7	4	4	3	7	7	4	9
MCL-98	1	3	5	3	3	9	8
GROUP7-17	4	4	3	5	2	5	4
M47-029	2	3	3	5	2	8	4
M22-51	4	4	3	5	2	5	6
HUMC-6	1	1	1	1	1	1	2
S03-3	4	1	1	1	2	7	1
MCL-14	4	5	4	6	6	6	1
MCL-37	2	2	2	2	5	3	3
MCL-33	4	4	1	1	7	4	9
IA2268	4	4	3	7	7	4	9
GROUP4-1	4	4	3	5	2	5	2
GROUP4-4	4	4	3	5	2	5	2
MCL-40	2	2	2	2	8	3	3
GROUP7-13	1	1	1	1	1	1	1
UNMC-20	4	4	3	5	2	5	2
UNMC-69	4	4	3	7	7	4	9
SPECS-3158	4	4	3	7	7	4	9
IA4227	4	1	4	1	7	1	9
GROUP6-4	1	4	1	7	7	4	9
GROUP6-3	4	4	3	7	7	4	9
UNMC-28	1	3	1	1	1	9	8
SPECS-3157	4	4	1	1	7	1	9
MCL-39	4	4	3	5	2	5	2
MCL-42	2	2	2	2	5	3	3
UNMC-90	4	5	1	5	2	7	1
UNMC-48	4	4	3	5	2	5	2
GROUP7-6	4	4	3	5	2	5	2
GROUP5-4	1	1	1	1	8	1	1
IA68	3	2	2	2	4	2	3
GROUP7-11	1	3	5	3	3	9	10
UNMC-6	2	3	5	3	3	8	5
SC86-6	2	2	2	2	5	3	3
IA4885	2	2	2	2	5	3	3
UNMC-55	3	2	2	2	5	2	3
UNMC-47	3	2	2	4	4	2	5
UNMC-87	3	2	2	4	4	2	5
GROUP7-9	3	2	2	2	4	2	9
GROUP7-20	3	2	2	2	4	2	7
GROUP5-10	3	2	2	2	4	2	7
UNMC-64	1	1	1	1	1	1	1
IA2745	1	3	5	3	3	9	4
HUMC4	3	2	2	2	4	2	7
UNMC-79-C1	2	2	2	2	5	3	3
IA2084	1	3	5	3	4	1	9
IA4203	3	2	2	2	4	2	7
IA1147	4	4	3	7	7	4	9
UNMC-61	4	4	3	7	7	4	6
MCL-128	1	3	5	3	3	9	8
GROUP7-14	2	2	2	2	5	2	3
GROUP4-6	2	5	5	2	3	6	10
GROUP7-2	1	1	1	1	1	1	8
HUMC5	4	5	3	2	2	3	4
MCL-35	1	3	5	3	3	9	8
MCL-75	4	4	3	7	7	4	9
UNMC-24	2	2	2	2	8	2	3
M47-023	2	2	2	2	5	3	3
UNMC-86	4	5	4	4	6	6	5
GROUP5-1	4	5	4	6	6	6	6
GROUP5-5	4	4	3	5	2	5	2
UNMC-8	1	1	1	1	8	1	9
GROUP6-1	1	3	5	3	8	6	8
UNMC-23	1	3	5	3	8	9	8
MCL-71	1	3	5	3	3	9	8
IA4289	4	3	5	3	8	8	6
S08-1	2	2	2	2	5	3	3
UNMC-84	2	2	2	2	5	3	3
SC02-11	2	4	2	7	7	4	3
UNMC-44	1	3	5	3	3	6	10
M47-022	2	2	2	2	5	3	3
BC04	2	2	2	2	5	3	3
HUMC-9	4	5	4	6	6	6	6
GROUP7-22	4	5	4	5	6	6	4
M47-3	2	5	2	2	6	6	10
UNMC-51	2	2	2	2	5	3	3
GROUP4-3	4	5	4	4	6	6	5
WCM045	4	5	4	6	2	7	5
UNMC-31	1	1	1	1	1	1	1
GROUP7-5	3	2	2	2	4	2	5
GROUP4-8	3	2	2	4	4	2	5
UNMC-97	1	1	1	1	1	1	1
HUMC1	3	2	2	4	4	2	5
MCL-61	1	1	1	1	1	1	1
S87-4	4	5	4	4	6	6	5
UNMC-85	4	5	4	6	6	6	6
SC08-2	4	5	4	6	6	7	6
S06-166	4	5	4	6	2	7	6
IA2334	4	5	4	4	6	6	5
MCL-122	4	5	4	4	6	6	5
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	3	5	3	3	9	8
S89-9	4	5	4	6	6	6	6
GROUP4-5	1	1	1	1	1	1	1
M47-025	4	5	4	6	2	7	6
IA834	4	5	4	6	2	7	6
HUMC-12	1	1	1	1	1	1	1
UNMC-88	1	1	1	1	1	1	1
GROUP4-11	1	1	1	1	6	6	1
UNMC-39	1	1	1	1	1	1	1
MCL-25	1	1	1	1	7	6	1
HUMC-10	1	3	2	3	3	3	3
GROUP7-19	4	3	5	7	7	5	10
GROUP5-8	4	5	4	5	6	6	4
SPECS-3164	2	2	2	2	8	3	3
UNMC-71-A5	2	2	2	2	8	3	3
MCL-24	1	3	5	3	3	9	8
UNMC-37	1	3	5	3	3	9	8
IA-02	1	3	5	3	3	9	4
GROUP7-3	1	1	1	1	1	1	1
S03-8	4	5	6	4	6	6	5
GROUP5-2	1	1	1	1	1	1	1
GROUP4-10	4	4	3	7	7	4	9
MCL-45	4	4	3	7	7	4	9
MCL-109	1	3	5	3	3	9	8
SC01-10	4	5	4	6	2	7	6
WCM041	3	2	2	2	4	2	7
MCL-146	4	5	6	4	6	6	5
MCL-126	4	5	4	6	2	7	6
