membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	1	1	1	1	1
HUMC-8	2	2	2	2	2	2	2
UNMC-81	1	1	1	1	1	1	3
UNMC-18	2	1	2	1	1	3	1
HUMC-7	2	2	2	3	3	4	4
UNMC-16	2	2	2	3	3	4	4
UNMC-7	3	3	3	4	4	5	3
S92-5	3	4	4	4	5	3	5
UNMC-33	2	5	5	5	6	6	6
WCM062	2	2	2	6	7	4	7
GROUP4-9	2	2	2	3	2	2	2
UNMC-68-A2	3	4	4	4	5	7	8
M47-024	3	4	4	4	5	7	3
SPECS-3163	3	4	4	4	5	7	8
UNMC-5	2	2	2	3	3	4	4
S94-7	3	4	4	4	5	7	8
GROUP7-1	2	2	2	3	2	2	2
M47-027	2	2	2	3	2	2	4
SPECS-3155	3	4	4	4	5	7	8
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	4	4	4	5	8	5
HUMC3	2	2	2	6	7	9	9
IA04	2	2	2	3	3	4	4
HUMC-15	4	3	3	3	4	5	3
IA1857	2	5	2	3	3	4	1
GROUP6-2	3	4	4	5	6	6	6
GROUP5-9	3	4	4	4	5	3	5
GROUP4-2	2	5	2	3	3	4	2
UNMC-62	2	2	2	3	3	4	4
SPECS-1917	3	4	4	4	5	7	8
IA2852	2	2	2	3	3	4	4
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	2	3	3	4	4
MCL-138	3	3	3	6	8	3	3
GROUP4-7	2	2	2	3	3	4	4
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	2	2	3	2	4	2
M47-029	2	2	2	3	2	2	2
M22-51	2	2	2	3	3	4	4
HUMC-6	2	2	2	6	3	4	9
S03-3	2	2	2	6	7	9	9
MCL-14	3	4	4	7	5	6	10
MCL-37	2	2	2	3	3	4	4
MCL-33	1	1	5	6	7	9	9
IA2268	2	2	2	3	2	2	4
GROUP4-1	2	2	2	3	3	4	4
GROUP4-4	2	2	2	3	2	2	4
MCL-40	2	2	2	2	2	2	2
GROUP7-13	1	1	5	5	6	6	9
UNMC-20	1	2	2	3	3	4	4
UNMC-69	4	3	3	5	6	6	6
SPECS-3158	3	4	4	4	5	7	8
IA4227	3	4	4	4	5	7	8
GROUP6-4	1	1	1	1	1	9	1
GROUP6-3	2	2	2	3	3	4	4
UNMC-28	1	1	1	1	1	1	9
SPECS-3157	3	4	4	5	6	6	6
MCL-39	2	2	2	3	3	4	4
MCL-42	3	3	3	2	4	5	3
UNMC-90	2	2	2	6	7	9	9
UNMC-48	2	5	2	5	3	6	4
GROUP7-6	2	2	2	3	3	4	4
GROUP5-4	1	5	5	5	6	6	6
IA68	4	5	2	5	6	6	6
GROUP7-11	1	1	5	5	6	6	6
UNMC-6	2	2	2	2	2	2	2
SC86-6	4	3	3	2	4	5	2
IA4885	4	2	2	2	4	5	2
UNMC-55	1	5	5	5	6	6	6
UNMC-47	3	4	6	4	5	3	10
UNMC-87	3	4	4	4	5	8	5
GROUP7-9	2	2	2	2	2	2	2
GROUP7-20	3	4	6	7	5	3	10
GROUP5-10	3	4	6	4	5	3	10
UNMC-64	1	1	1	1	1	9	9
IA2745	2	1	2	3	3	4	2
HUMC4	3	4	6	7	5	3	10
UNMC-79-C1	3	4	3	4	5	3	3
IA2084	1	1	1	4	1	8	5
IA4203	3	4	4	4	5	8	5
IA1147	1	5	5	5	6	6	6
UNMC-61	3	4	4	4	5	7	8
MCL-128	1	1	1	1	1	1	1
GROUP7-14	2	2	2	2	2	2	2
GROUP4-6	2	5	5	5	6	6	6
GROUP7-2	1	1	1	1	7	9	9
HUMC5	2	2	2	3	2	2	2
MCL-35	1	1	1	1	1	1	1
MCL-75	2	4	3	3	8	2	6
UNMC-24	4	2	2	2	4	2	2
M47-023	4	2	2	2	4	2	2
UNMC-86	2	2	2	3	4	4	2
GROUP5-1	3	4	4	4	5	3	8
GROUP5-5	2	2	2	2	2	2	2
UNMC-8	1	1	1	1	1	1	3
GROUP6-1	1	1	1	1	1	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	3	4	6	7	6	6	10
S08-1	4	2	2	2	4	5	2
UNMC-84	4	2	2	2	4	5	2
SC02-11	1	5	5	5	6	6	3
UNMC-44	1	1	1	1	1	1	1
M47-022	4	2	2	2	4	5	2
BC04	4	3	3	2	4	5	3
HUMC-9	3	4	4	4	5	3	5
GROUP7-22	2	4	2	3	4	3	5
M47-3	3	4	6	7	1	6	10
UNMC-51	4	2	2	2	4	4	2
GROUP4-3	3	4	6	4	5	3	10
WCM045	3	4	4	4	5	7	8
UNMC-31	1	1	5	6	7	9	9
GROUP7-5	3	4	6	7	5	3	7
GROUP4-8	3	4	4	4	5	8	5
UNMC-97	1	5	5	6	6	9	9
HUMC1	4	2	2	2	4	2	2
MCL-61	2	1	5	6	7	9	9
S87-4	3	4	4	4	5	7	8
UNMC-85	2	4	4	7	2	3	5
SC08-2	3	4	4	4	5	7	5
S06-166	3	4	4	4	5	7	8
IA2334	3	4	2	4	5	8	5
MCL-122	3	4	6	7	6	6	10
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	3	4	4	4	5	7	8
GROUP4-5	1	1	1	1	7	9	9
M47-025	2	2	2	2	2	7	2
