membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	1	1	2	1	2
HUMC-8	3	3	2	2	3	2	3
UNMC-81	1	1	3	3	4	3	4
UNMC-18	2	2	1	1	2	1	5
HUMC-7	3	3	2	2	5	2	6
UNMC-16	3	3	2	2	5	2	6
UNMC-7	2	2	4	4	2	3	7
S92-5	2	2	4	4	6	4	8
UNMC-33	2	2	1	4	2	1	5
WCM062	3	3	2	2	5	2	6
GROUP4-9	4	3	2	5	3	5	3
UNMC-68-A2	2	4	4	6	7	6	9
M47-024	2	4	4	6	7	6	9
SPECS-3163	2	4	4	6	7	6	9
UNMC-5	3	3	2	2	5	2	6
S94-7	2	4	4	6	7	6	9
GROUP7-1	4	3	2	5	3	5	3
M47-027	4	3	2	5	3	5	3
SPECS-3155	2	4	4	6	7	6	9
GROUP7-15	1	1	1	1	1	7	2
WCM032	2	1	3	3	4	8	4
HUMC3	3	3	2	2	5	2	1
IA04	2	2	2	2	2	1	5
HUMC-15	2	2	1	4	2	1	5
IA1857	3	1	2	2	5	2	6
GROUP6-2	2	4	3	6	4	6	9
GROUP5-9	2	4	4	6	2	4	8
GROUP4-2	3	3	2	2	5	2	6
UNMC-62	4	3	2	2	5	1	6
SPECS-1917	2	4	4	6	7	6	9
IA2852	4	2	5	7	6	9	8
MCL-38	1	1	1	1	1	7	2
GROUP5-6	3	3	2	2	5	2	6
MCL-138	2	2	1	4	2	1	5
GROUP4-7	2	2	2	4	2	1	5
MCL-98	1	1	1	1	1	7	2
GROUP7-17	4	3	2	5	3	5	3
M47-029	2	2	1	4	2	1	5
M22-51	3	3	2	2	5	2	6
HUMC-6	3	3	2	2	5	2	6
S03-3	3	1	2	2	5	2	1
MCL-14	3	5	4	7	6	9	8
MCL-37	2	2	6	2	2	3	10
MCL-33	2	2	1	4	2	1	5
IA2268	4	3	2	5	3	5	3
GROUP4-1	3	3	2	2	5	2	6
GROUP4-4	4	3	2	5	3	5	3
MCL-40	4	3	2	5	3	5	3
GROUP7-13	3	1	2	3	5	2	1
UNMC-20	3	3	1	2	5	2	6
UNMC-69	2	1	3	3	4	8	4
SPECS-3158	2	4	4	6	7	6	9
IA4227	2	2	4	6	2	6	5
GROUP6-4	1	1	1	1	1	1	1
GROUP6-3	4	3	2	2	5	1	5
UNMC-28	1	1	1	1	1	7	9
SPECS-3157	2	4	3	3	4	6	4
MCL-39	3	3	2	2	5	2	6
MCL-42	4	2	6	4	2	3	10
UNMC-90	3	3	2	2	3	2	1
UNMC-48	2	2	1	4	2	1	5
GROUP7-6	4	3	2	2	3	5	3
GROUP5-4	1	1	3	3	4	8	4
IA68	4	1	3	3	4	3	4
GROUP7-11	1	1	3	3	4	8	4
UNMC-6	4	3	2	5	3	5	3
SC86-6	4	2	6	4	3	3	10
IA4885	4	3	2	5	3	5	3
UNMC-55	1	1	3	3	4	8	7
UNMC-47	2	2	5	4	8	4	7
UNMC-87	2	2	5	1	8	8	8
GROUP7-9	4	3	2	5	3	5	3
GROUP7-20	4	2	5	7	8	9	7
GROUP5-10	2	2	5	7	8	9	7
UNMC-64	3	1	2	2	5	2	1
IA2745	3	3	2	2	5	2	6
HUMC4	4	1	5	7	8	9	7
UNMC-79-C1	2	2	4	4	2	4	10
IA2084	2	2	5	1	8	8	8
IA4203	2	2	4	1	8	8	7
IA1147	1	1	3	3	4	8	4
UNMC-61	2	4	4	6	7	6	9
MCL-128	1	1	1	1	1	7	2
GROUP7-14	4	3	2	5	3	5	3
GROUP4-6	1	1	3	3	4	8	4
GROUP7-2	3	1	2	2	1	2	1
HUMC5	4	3	2	5	3	5	3
MCL-35	4	1	1	1	1	7	3
MCL-75	4	2	1	4	4	1	5
UNMC-24	4	3	3	5	3	3	3
M47-023	4	3	2	5	3	5	3
UNMC-86	4	2	5	7	6	9	8
GROUP5-1	2	4	4	6	6	4	8
GROUP5-5	4	3	2	5	3	5	3
UNMC-8	1	1	1	3	1	8	4
GROUP6-1	1	2	1	4	2	4	2
UNMC-23	1	1	1	1	1	7	2
MCL-71	1	1	1	1	1	7	2
IA4289	2	2	5	3	6	9	8
S08-1	4	3	6	5	3	5	3
UNMC-84	4	3	2	5	3	5	3
SC02-11	1	1	3	6	4	6	9
UNMC-44	1	2	1	4	2	1	5
M47-022	4	3	3	3	3	3	4
BC04	4	2	6	5	3	3	10
HUMC-9	2	4	4	6	6	4	8
GROUP7-22	2	4	4	4	6	4	8
M47-3	1	5	5	7	6	9	8
UNMC-51	4	3	6	5	3	5	3
GROUP4-3	4	2	5	7	6	9	8
WCM045	2	2	4	6	7	1	5
UNMC-31	3	1	2	2	1	2	1
GROUP7-5	4	2	5	7	8	9	7
GROUP4-8	2	2	5	1	8	8	8
UNMC-97	3	1	2	3	4	2	1
HUMC1	4	3	2	5	3	5	3
MCL-61	3	1	2	2	1	2	1
S87-4	2	4	5	7	6	9	9
UNMC-85	4	4	5	6	6	4	8
SC08-2	2	4	4	6	6	4	8
S06-166	2	4	4	6	7	6	9
IA2334	4	2	5	7	6	9	8
MCL-122	4	2	5	7	6	9	8
GROUP5-3	3	3	3	3	8	3	7
