membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	2	2	1	1	1
HUMC-8	2	2	2	3	1	1	2
UNMC-81	1	3	3	4	2	2	3
UNMC-18	1	1	2	1	1	1	4
HUMC-7	3	4	4	5	3	3	5
UNMC-16	2	2	2	3	4	4	2
UNMC-7	1	5	5	4	5	2	3
S92-5	3	4	6	6	6	5	6
UNMC-33	2	3	4	7	2	6	7
WCM062	1	2	2	2	1	1	1
GROUP4-9	2	2	2	3	4	4	2
UNMC-68-A2	3	4	6	6	7	7	6
M47-024	3	4	6	4	5	2	6
SPECS-3163	3	4	6	6	7	7	6
UNMC-5	1	2	2	2	1	4	2
S94-7	2	4	6	6	7	7	6
GROUP7-1	2	2	2	3	4	4	2
M47-027	2	2	2	3	4	4	2
SPECS-3155	3	4	6	6	7	7	6
GROUP7-15	1	1	1	1	8	8	4
WCM032	4	3	3	6	2	5	8
HUMC3	1	2	2	2	1	1	1
IA04	3	3	4	3	3	3	7
HUMC-15	2	5	5	4	5	2	3
IA1857	3	3	4	3	3	3	7
GROUP6-2	4	3	3	7	2	6	7
GROUP5-9	3	4	6	6	7	7	6
GROUP4-2	2	2	2	3	4	4	2
UNMC-62	3	4	4	5	3	3	9
SPECS-1917	3	4	6	6	7	7	6
IA2852	3	4	4	6	3	3	9
MCL-38	1	1	1	1	8	8	4
GROUP5-6	2	2	2	3	4	4	2
MCL-138	4	1	2	2	1	1	1
GROUP4-7	2	2	2	3	4	4	2
MCL-98	1	1	1	1	8	8	4
GROUP7-17	2	2	2	3	4	4	2
M47-029	2	3	4	3	4	4	7
M22-51	2	2	2	3	4	4	2
HUMC-6	2	2	2	3	1	4	2
S03-3	1	2	2	2	1	1	1
MCL-14	2	2	2	3	4	4	2
MCL-37	2	5	2	3	4	4	2
MCL-33	1	1	2	2	1	1	1
IA2268	2	2	2	3	4	4	2
GROUP4-1	2	2	2	3	4	4	2
GROUP4-4	2	2	2	3	4	4	2
MCL-40	2	5	5	6	7	3	2
GROUP7-13	1	1	2	2	1	1	1
UNMC-20	2	2	2	3	4	4	2
UNMC-69	4	3	3	7	2	6	7
SPECS-3158	2	4	6	6	7	7	6
IA4227	3	4	6	6	7	7	6
GROUP6-4	1	1	1	2	1	1	1
GROUP6-3	2	2	2	3	4	4	2
UNMC-28	1	1	2	2	1	1	1
SPECS-3157	4	3	3	7	2	6	7
MCL-39	2	2	2	3	4	4	2
MCL-42	1	5	5	4	5	2	3
UNMC-90	1	2	2	2	1	1	1
UNMC-48	4	3	3	7	2	6	7
GROUP7-6	2	2	2	3	4	4	2
GROUP5-4	4	3	3	7	2	6	7
IA68	4	3	3	4	2	2	3
GROUP7-11	1	1	1	7	2	6	7
UNMC-6	4	3	4	5	3	3	7
SC86-6	1	5	5	4	5	2	3
IA4885	2	5	5	4	5	2	3
UNMC-55	1	3	5	4	5	2	3
UNMC-47	3	4	4	5	3	3	5
UNMC-87	3	4	4	5	3	3	5
GROUP7-9	3	4	4	5	5	3	5
GROUP7-20	3	4	4	5	6	9	5
GROUP5-10	3	4	4	5	6	9	5
UNMC-64	1	1	1	1	1	8	4
IA2745	2	2	2	3	4	4	2
HUMC4	3	4	4	5	6	9	5
UNMC-79-C1	3	4	5	4	7	2	5
IA2084	1	1	1	1	8	8	4
IA4203	3	4	4	6	7	7	5
IA1147	4	3	3	7	2	6	7
UNMC-61	1	4	2	3	7	7	2
MCL-128	1	1	1	1	8	8	4
