membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	2	1	2	2	1
HUMC-8	2	2	3	2	3	3	2
UNMC-81	3	3	4	3	4	4	2
UNMC-18	4	1	2	3	2	1	2
HUMC-7	2	3	2	4	2	5	3
UNMC-16	4	1	1	2	5	6	1
UNMC-7	3	4	4	2	6	4	4
S92-5	4	3	5	3	4	7	5
UNMC-33	4	5	2	5	2	8	6
WCM062	4	1	1	2	1	6	1
GROUP4-9	2	2	3	2	3	3	7
UNMC-68-A2	3	2	5	2	5	6	7
M47-024	3	1	4	6	6	4	8
SPECS-3163	3	2	5	2	6	9	4
UNMC-5	4	1	1	2	5	6	1
S94-7	4	2	5	2	6	9	4
GROUP7-1	2	2	3	2	3	3	7
M47-027	2	2	1	2	5	6	7
SPECS-3155	3	2	5	7	6	9	4
GROUP7-15	1	2	3	1	5	4	8
WCM032	4	4	6	1	5	4	9
HUMC3	4	1	1	2	1	2	1
IA04	4	5	2	3	2	2	6
HUMC-15	4	3	5	3	4	7	5
IA1857	4	2	3	2	5	1	8
GROUP6-2	4	3	5	7	4	7	5
GROUP5-9	4	2	3	5	2	8	6
GROUP4-2	4	2	3	1	5	4	8
UNMC-62	4	3	5	4	2	6	3
SPECS-1917	2	2	3	4	6	9	4
IA2852	4	5	2	2	2	6	3
MCL-38	1	1	4	1	7	1	8
GROUP5-6	4	2	1	2	5	6	1
MCL-138	4	3	5	3	4	7	5
GROUP4-7	4	5	2	3	4	6	5
MCL-98	1	1	4	1	7	1	8
GROUP7-17	2	2	3	2	3	3	7
M47-029	4	5	2	5	2	8	6
M22-51	4	2	1	2	5	6	1
HUMC-6	4	2	1	2	5	6	1
S03-3	4	1	1	6	1	2	1
MCL-14	4	5	1	6	1	7	1
MCL-37	4	2	1	2	5	6	4
MCL-33	4	3	5	3	4	2	5
IA2268	4	2	3	2	4	6	5
GROUP4-1	4	1	4	2	4	6	5
GROUP4-4	2	2	3	2	2	6	7
MCL-40	2	2	3	2	3	3	7
GROUP7-13	4	1	1	6	5	2	1
UNMC-20	4	3	1	2	2	6	1
UNMC-69	4	3	5	3	4	7	5
SPECS-3158	4	3	5	7	6	9	4
IA4227	4	5	2	3	2	2	6
GROUP6-4	4	3	4	3	4	7	5
GROUP6-3	4	3	5	3	4	7	5
UNMC-28	1	1	1	1	7	1	8
SPECS-3157	4	3	5	3	4	7	5
MCL-39	4	2	1	2	5	6	1
MCL-42	3	4	3	2	6	4	4
UNMC-90	4	1	1	2	1	2	1
UNMC-48	4	5	2	5	2	8	6
GROUP7-6	4	5	2	2	2	6	6
GROUP5-4	4	4	6	2	2	4	10
IA68	4	3	6	3	4	4	2
GROUP7-11	3	1	5	7	6	9	4
UNMC-6	2	2	3	2	3	3	7
SC86-6	3	4	3	2	3	4	2
IA4885	2	2	3	2	3	4	2
UNMC-55	3	4	2	5	3	4	2
UNMC-47	3	5	2	5	2	5	6
UNMC-87	3	5	2	4	2	5	3
GROUP7-9	2	4	3	4	3	3	7
GROUP7-20	2	5	2	4	8	5	10
GROUP5-10	2	5	2	4	8	5	10
UNMC-64	4	1	1	6	5	2	1
IA2745	4	2	3	2	5	6	8
HUMC4	2	4	2	4	8	5	10
UNMC-79-C1	3	5	2	5	6	4	6
IA2084	1	1	5	1	7	2	8
IA4203	3	5	2	5	2	8	6
IA1147	4	3	5	3	4	7	5
UNMC-61	4	3	6	3	4	7	5
MCL-128	1	1	4	1	7	1	8
GROUP7-14	2	2	3	2	3	4	2
GROUP4-6	3	2	6	2	6	9	4
GROUP7-2	2	1	4	6	1	2	1
HUMC5	2	2	3	2	3	3	7
MCL-35	1	1	4	1	3	1	9
MCL-75	4	3	5	3	4	7	9
UNMC-24	2	4	3	2	2	4	2
M47-023	2	2	3	2	3	4	2
UNMC-86	3	5	2	4	2	5	3
GROUP5-1	3	2	5	3	6	9	4
GROUP5-5	2	2	3	2	3	3	7
UNMC-8	3	1	5	3	1	2	8
GROUP6-1	1	1	4	1	7	1	6
UNMC-23	1	1	4	1	7	1	8
MCL-71	1	1	4	1	7	1	8
IA4289	3	5	2	4	8	5	3
S08-1	2	2	3	2	3	4	2
UNMC-84	2	2	3	2	3	4	2
SC02-11	3	3	4	3	6	7	4
UNMC-44	3	5	2	5	2	8	6
M47-022	4	4	6	3	3	4	2
BC04	3	4	3	2	3	4	2
HUMC-9	1	4	6	1	5	5	9
GROUP7-22	4	2	3	2	3	8	2
M47-3	1	1	6	4	8	5	10
UNMC-51	3	4	3	2	3	4	2
GROUP4-3	3	5	2	4	2	5	3
WCM045	4	3	5	5	4	8	5
UNMC-31	2	1	1	6	1	2	1
GROUP7-5	2	4	2	4	8	5	10
GROUP4-8	2	4	2	4	2	5	3
UNMC-97	2	1	5	3	1	2	1
HUMC1	2	4	2	4	2	5	7
MCL-61	2	4	1	6	1	2	1
S87-4	3	2	5	7	6	9	4
UNMC-85	2	2	3	2	3	3	7
SC08-2	4	5	2	4	2	5	3
S06-166	3	2	2	7	6	3	4
IA2334	3	5	2	4	2	5	3
MCL-122	3	5	2	4	2	5	3
GROUP5-3	4	4	6	2	5	4	1
GROUP5-7	1	1	4	1	7	1	8
S89-9	3	2	5	7	6	9	4
GROUP4-5	4	1	1	6	1	2	1
M47-025	2	2	3	2	3	3	7
IA834	2	2	3	2	3	3	7
HUMC-12	4	1	1	3	1	2	1
UNMC-88	4	1	1	6	1	2	1
GROUP4-11	4	3	5	3	1	2	8
UNMC-39	4	1	1	6	1	2	1
MCL-25	4	3	5	3	1	7	1
HUMC-10	3	1	4	7	6	9	4
GROUP7-19	4	1	4	1	8	8	6
GROUP5-8	4	2	3	2	8	8	6
SPECS-3164	3	5	3	5	2	8	6
UNMC-71-A5	3	5	2	5	2	8	6
MCL-24	1	1	4	1	7	1	8
UNMC-37	1	1	4	1	7	1	8
IA-02	1	1	4	1	7	1	8
GROUP7-3	4	1	5	3	1	2	1
S03-8	3	5	2	4	8	5	3
GROUP5-2	4	1	1	2	5	6	1
GROUP4-10	4	3	5	3	4	7	5
MCL-45	2	2	3	2	3	3	7
MCL-109	1	1	4	1	7	1	8
SC01-10	1	1	4	1	7	1	8
WCM041	3	5	2	5	6	8	6
MCL-146	4	5	2	5	2	8	6
MCL-126	4	2	1	2	5	6	1
