membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	2	2	2	2
HUMC-8	2	3	3	3	3	3	3
UNMC-81	1	4	4	2	4	4	4
UNMC-18	1	1	2	1	2	1	2
HUMC-7	3	5	2	2	5	5	5
UNMC-16	2	2	2	4	2	6	6
UNMC-7	1	4	4	5	4	4	4
S92-5	4	4	4	2	4	4	5
UNMC-33	2	2	2	2	2	5	2
WCM062	2	2	2	2	2	2	2
GROUP4-9	2	3	3	3	6	7	7
UNMC-68-A2	3	5	5	6	7	8	8
M47-024	3	5	5	6	7	8	8
SPECS-3163	3	5	5	6	7	8	8
UNMC-5	2	2	2	2	2	2	2
S94-7	3	5	5	6	7	8	8
GROUP7-1	2	3	3	3	6	7	7
M47-027	2	3	3	3	6	7	7
SPECS-3155	3	5	5	6	7	8	8
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	5	4	2	5	5	9
HUMC3	2	2	2	2	2	2	2
IA04	2	5	4	2	5	9	5
HUMC-15	4	2	2	4	8	6	10
IA1857	2	3	4	2	5	9	5
GROUP6-2	3	2	5	6	7	6	8
GROUP5-9	3	3	5	6	6	7	9
GROUP4-2	2	2	2	3	6	7	6
UNMC-62	3	3	6	4	5	9	5
SPECS-1917	3	5	5	6	7	8	8
IA2852	3	3	6	6	5	9	5
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	2	3	2	2	6
MCL-138	4	2	2	4	8	6	10
GROUP4-7	2	2	2	4	8	6	10
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	3	3	3	6	7	7
M47-029	2	3	3	3	6	7	7
M22-51	2	2	2	3	6	2	6
HUMC-6	2	1	2	7	3	2	3
S03-3	2	1	2	7	3	3	3
MCL-14	2	3	6	6	2	9	5
MCL-37	4	4	4	5	2	4	4
MCL-33	2	1	2	4	8	6	10
IA2268	2	2	2	3	8	6	10
GROUP4-1	2	2	2	3	6	7	6
GROUP4-4	2	3	3	3	6	7	7
MCL-40	2	3	3	3	6	7	7
GROUP7-13	1	1	1	7	3	3	3
UNMC-20	4	2	2	4	8	6	6
UNMC-69	4	2	2	4	8	6	10
SPECS-3158	3	2	5	6	7	8	8
IA4227	3	5	5	6	7	8	8
GROUP6-4	1	1	2	4	8	6	10
GROUP6-3	4	2	2	4	8	6	10
UNMC-28	1	1	1	1	1	1	1
SPECS-3157	3	2	5	4	8	6	8
MCL-39	2	2	3	3	2	2	6
MCL-42	1	4	4	5	4	4	4
UNMC-90	2	3	2	7	3	3	3
UNMC-48	2	2	2	3	2	2	6
GROUP7-6	2	2	2	3	2	2	6
GROUP5-4	3	5	2	7	3	5	4
IA68	4	4	4	2	4	4	4
GROUP7-11	1	1	1	1	1	1	1
UNMC-6	2	3	3	2	6	7	7
SC86-6	1	4	4	5	4	4	4
IA4885	2	3	3	3	6	4	4
UNMC-55	1	4	4	5	4	4	4
UNMC-47	3	5	6	2	5	5	5
UNMC-87	3	5	6	2	5	5	5
GROUP7-9	2	3	3	3	6	7	7
GROUP7-20	2	2	2	2	2	5	2
GROUP5-10	3	5	5	6	7	5	8
UNMC-64	1	1	1	1	1	1	3
IA2745	1	1	1	1	1	1	1
HUMC4	2	2	2	2	2	5	2
UNMC-79-C1	1	4	5	5	4	4	8
IA2084	1	1	1	1	1	1	1
IA4203	3	5	5	2	2	5	2
IA1147	4	2	2	4	8	6	10
UNMC-61	4	2	2	4	8	8	10
MCL-128	1	1	1	1	1	1	1
GROUP7-14	1	1	3	3	6	1	4
GROUP4-6	3	3	3	2	5	9	3
GROUP7-2	1	1	1	1	1	1	1
HUMC5	2	3	3	3	6	7	7
MCL-35	1	1	1	1	1	1	1
MCL-75	4	2	2	4	8	6	10
UNMC-24	2	3	4	2	5	9	5
M47-023	2	3	3	3	6	7	5
UNMC-86	3	3	6	6	5	9	5
GROUP5-1	3	5	5	6	7	8	8
GROUP5-5	2	3	3	3	6	7	7
UNMC-8	1	1	1	1	1	1	1
GROUP6-1	1	1	1	1	5	1	1
UNMC-23	1	1	1	1	1	1	1
MCL-71	1	1	1	1	1	1	1
IA4289	3	5	4	2	5	9	5
S08-1	3	3	3	3	6	7	7
UNMC-84	2	3	3	3	6	7	4
SC02-11	3	4	5	6	7	6	4
UNMC-44	1	1	1	1	1	1	1
M47-022	4	4	4	2	4	4	4
BC04	1	4	4	3	4	4	4
HUMC-9	3	5	4	2	5	5	9
GROUP7-22	2	3	3	3	6	7	9
M47-3	1	1	3	6	5	9	9
UNMC-51	2	3	3	3	4	7	9
GROUP4-3	3	3	6	2	5	9	5
WCM045	3	5	5	4	7	6	10
UNMC-31	2	1	2	7	3	3	3
GROUP7-5	3	5	6	2	5	5	5
GROUP4-8	3	5	6	2	5	5	5
UNMC-97	2	1	2	7	3	3	3
HUMC1	3	5	6	2	5	5	5
MCL-61	2	1	2	7	3	3	3
S87-4	3	5	5	6	5	9	8
UNMC-85	3	3	6	3	6	9	5
SC08-2	3	5	5	6	7	8	8
S06-166	3	5	5	6	7	8	8
IA2334	3	3	6	6	5	9	5
MCL-122	3	3	6	6	5	9	5
GROUP5-3	1	1	1	1	1	1	1
GROUP5-7	1	1	1	1	1	1	1
S89-9	3	5	5	6	7	8	8
GROUP4-5	1	1	1	7	3	1	3
M47-025	2	3	3	3	6	7	7
IA834	2	3	3	3	6	7	7
HUMC-12	1	1	2	7	3	3	3
UNMC-88	1	1	1	1	1	1	3
GROUP4-11	3	3	6	6	3	5	5
UNMC-39	2	1	2	7	3	3	3
MCL-25	2	3	2	4	3	6	10
HUMC-10	1	4	5	6	7	8	8
GROUP7-19	4	2	2	4	8	6	10
GROUP5-8	1	3	3	3	6	7	9
SPECS-3164	3	3	6	2	5	9	5
UNMC-71-A5	3	5	5	6	7	8	8
MCL-24	1	1	1	1	1	1	1
UNMC-37	1	1	1	1	1	1	1
IA-02	1	2	3	3	6	7	7
GROUP7-3	2	1	2	7	3	3	3
S03-8	3	3	6	2	5	9	5
GROUP5-2	2	1	2	7	3	3	3
GROUP4-10	4	2	2	4	8	6	10
MCL-45	2	3	3	3	6	7	7
MCL-109	1	1	1	1	1	1	1
