membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	2	2	2	2	2
HUMC-8	2	2	2	3	3	3	3
UNMC-81	3	3	3	4	4	4	4
UNMC-18	1	1	1	1	1	1	1
HUMC-7	3	3	3	5	4	4	5
UNMC-16	3	2	4	4	5	5	6
UNMC-7	4	3	3	5	4	4	7
S92-5	3	3	3	4	4	4	4
UNMC-33	3	3	2	5	4	4	5
WCM062	2	2	2	2	2	2	2
GROUP4-9	2	2	5	6	3	3	8
UNMC-68-A2	4	2	6	7	2	2	2
M47-024	1	1	6	7	6	3	9
SPECS-3163	4	2	6	7	7	2	2
UNMC-5	2	2	2	2	2	2	2
S94-7	3	4	4	4	5	5	6
GROUP7-1	2	2	5	6	3	3	8
M47-027	2	2	5	6	3	3	8
SPECS-3155	4	5	6	5	7	6	9
GROUP7-15	1	1	1	1	1	1	1
WCM032	4	3	3	7	8	7	4
HUMC3	2	2	2	2	2	2	2
IA04	2	2	5	6	3	3	4
HUMC-15	3	4	4	4	5	5	6
IA1857	2	2	5	6	3	3	9
GROUP6-2	3	4	4	4	5	5	6
GROUP5-9	4	3	5	7	8	7	2
GROUP4-2	3	2	4	6	2	1	1
UNMC-62	2	2	5	6	3	3	9
SPECS-1917	2	2	6	6	3	3	9
IA2852	2	2	5	6	7	8	10
MCL-38	1	1	1	1	1	1	1
GROUP5-6	2	2	2	6	2	2	2
MCL-138	3	4	4	4	5	5	6
GROUP4-7	2	2	4	6	5	5	8
MCL-98	1	1	1	1	1	1	1
GROUP7-17	2	2	5	6	3	3	8
M47-029	2	2	5	6	3	3	8
M22-51	2	2	4	6	2	2	6
HUMC-6	2	2	2	6	2	2	2
S03-3	2	1	2	2	2	2	3
MCL-14	2	5	6	7	7	8	10
MCL-37	4	2	2	6	2	9	7
MCL-33	1	4	4	4	5	5	6
IA2268	2	2	4	6	5	5	8
GROUP4-1	3	4	4	4	5	5	6
GROUP4-4	2	2	5	3	3	3	8
MCL-40	2	2	5	3	3	3	8
GROUP7-13	1	1	2	2	1	2	3
UNMC-20	3	4	4	4	5	5	6
UNMC-69	3	4	4	4	5	5	6
SPECS-3158	3	4	4	4	5	5	6
IA4227	4	5	6	5	7	7	5
GROUP6-4	1	4	4	4	5	5	6
GROUP6-3	3	4	4	4	5	5	6
UNMC-28	1	1	1	1	1	2	1
SPECS-3157	3	4	4	4	5	5	6
MCL-39	2	2	2	6	2	2	2
MCL-42	4	5	5	5	6	9	7
UNMC-90	2	2	2	2	3	3	3
UNMC-48	2	2	2	6	2	2	2
GROUP7-6	2	2	2	6	2	2	2
GROUP5-4	4	4	3	7	8	7	3
IA68	3	3	3	4	4	4	4
GROUP7-11	1	1	1	1	1	6	1
UNMC-6	2	2	5	3	3	3	8
