membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	2	2	2	1	1	2	1
HUMC-8	3	1	3	2	2	3	1
UNMC-81	4	1	4	1	3	4	2
UNMC-18	3	1	2	3	1	1	1
HUMC-7	2	3	5	4	4	5	3
UNMC-16	3	4	3	2	2	6	4
UNMC-7	2	2	6	5	5	7	5
S92-5	3	2	2	5	6	2	6
UNMC-33	2	2	2	6	6	8	7
WCM062	3	4	3	2	2	6	8
GROUP4-9	3	4	3	2	2	6	4
UNMC-68-A2	3	4	3	2	2	6	8
M47-024	3	4	3	2	2	6	8
SPECS-3163	3	4	3	2	2	6	8
UNMC-5	3	4	3	2	2	6	4
S94-7	3	4	3	2	2	6	4
GROUP7-1	3	4	3	2	2	6	4
M47-027	3	4	3	2	2	6	4
SPECS-3155	3	4	3	2	2	6	4
GROUP7-15	1	1	1	1	1	1	1
WCM032	3	2	2	6	6	9	2
HUMC3	3	4	3	2	2	6	8
IA04	3	3	2	5	6	2	7
HUMC-15	2	2	2	5	6	7	7
IA1857	3	3	5	4	3	4	3
GROUP6-2	4	5	4	6	3	4	2
GROUP5-9	3	2	2	3	6	9	6
GROUP4-2	1	4	3	2	2	6	4
UNMC-62	2	3	5	4	4	5	3
SPECS-1917	3	4	3	2	2	6	8
IA2852	2	3	5	4	4	5	3
MCL-38	1	1	1	1	1	1	1
GROUP5-6	3	4	3	2	2	6	4
MCL-138	2	2	2	5	6	2	7
GROUP4-7	3	2	2	5	6	6	7
MCL-98	1	1	1	1	1	1	1
GROUP7-17	3	4	3	2	2	6	4
M47-029	2	2	2	5	6	2	7
M22-51	3	4	3	2	2	6	4
HUMC-6	3	1	3	2	2	6	4
S03-3	3	4	3	2	2	6	8
MCL-14	3	4	3	2	2	6	4
MCL-37	2	2	6	5	5	7	5
MCL-33	1	1	1	5	6	2	7
IA2268	3	4	3	2	2	6	4
GROUP4-1	3	4	3	2	2	6	4
GROUP4-4	3	4	3	2	2	6	4
