membership	membership.1	membership.2	membership.3	membership.4	membership.5	membership.6
MCL-28	1	1	1	1	1	1	1
UNMC-59	1	1	1	1	1	2	2
HUMC-8	2	2	2	2	2	3	1
UNMC-81	1	3	3	3	3	4	3
UNMC-18	1	2	1	1	1	1	4
HUMC-7	2	4	4	4	4	5	5
UNMC-16	3	3	5	5	5	6	6
UNMC-7	4	3	3	3	6	7	3
S92-5	3	2	6	6	3	8	7
UNMC-33	2	4	4	4	4	5	5
WCM062	2	1	5	7	2	2	2
GROUP4-9	2	2	2	2	7	3	2
UNMC-68-A2	2	2	6	6	5	8	8
M47-024	4	1	3	3	5	7	2
SPECS-3163	2	2	6	6	5	8	8
UNMC-5	1	1	1	7	5	2	2
S94-7	2	2	5	6	5	2	2
GROUP7-1	2	2	2	2	7	3	9
M47-027	2	2	2	2	7	2	2
SPECS-3155	2	2	5	6	5	8	8
GROUP7-15	1	2	1	1	1	9	4
WCM032	4	2	6	6	5	8	2
HUMC3	1	1	1	7	2	1	2
IA04	2	2	5	6	5	2	2
HUMC-15	3	3	5	5	3	6	6
IA1857	1	2	1	1	1	9	4
GROUP6-2	3	3	5	5	3	6	6
GROUP5-9	4	2	6	6	5	8	7
GROUP4-2	1	2	1	1	1	9	4
UNMC-62	2	4	5	6	5	2	2
SPECS-1917	2	2	6	6	5	8	8
IA2852	2	2	5	6	5	2	2
MCL-38	1	3	1	1	1	9	4
GROUP5-6	2	2	5	6	5	8	2
MCL-138	3	3	5	5	3	6	6
GROUP4-7	3	2	5	5	5	2	2
MCL-98	1	5	1	1	1	9	4
GROUP7-17	2	2	2	2	7	3	9
M47-029	2	5	1	2	7	3	9
M22-51	2	2	5	6	5	8	2
HUMC-6	3	1	1	7	5	2	1
S03-3	1	1	5	7	2	1	2
MCL-14	2	2	5	6	5	2	2
MCL-37	2	2	5	6	5	2	2
MCL-33	3	3	5	5	3	6	6
IA2268	3	2	5	2	3	2	2
GROUP4-1	3	3	1	5	5	6	6
GROUP4-4	2	2	5	2	7	2	10
MCL-40	2	2	2	2	7	3	9
GROUP7-13	1	1	1	7	2	1	1
UNMC-20	3	3	5	5	5	2	2
UNMC-69	3	3	5	5	3	6	6
SPECS-3158	3	2	5	6	5	7	2
IA4227	2	2	6	6	5	8	8
GROUP6-4	3	3	5	5	3	6	6
GROUP6-3	3	3	5	5	3	6	6
UNMC-28	1	1	1	1	2	1	4
SPECS-3157	3	2	5	5	5	6	6
MCL-39	2	2	2	6	7	8	2
MCL-42	4	3	3	3	6	7	3
UNMC-90	1	1	5	7	2	1	1
UNMC-48	2	2	5	6	5	2	2
GROUP7-6	2	2	5	2	5	2	2
GROUP5-4	3	1	5	7	8	4	1
IA68	3	3	3	3	3	4	3
GROUP7-11	1	5	1	1	1	9	4
UNMC-6	2	5	2	2	7	3	9
SC86-6	1	4	3	3	4	7	10
IA4885	4	2	2	3	6	7	3
UNMC-55	2	3	3	3	8	4	3
UNMC-47	2	4	4	4	4	5	5
UNMC-87	2	4	4	4	4	5	5
GROUP7-9	2	2	4	2	4	5	5
GROUP7-20	2	4	4	4	4	5	5
GROUP5-10	2	4	4	4	4	5	5
UNMC-64	1	5	1	7	4	1	1
IA2745	1	5	4	1	1	2	2
HUMC4	2	4	4	4	4	5	5
UNMC-79-C1	4	4	3	4	6	7	10
IA2084	1	5	4	1	4	5	5
IA4203	2	4	4	4	4	5	5
IA1147	3	3	5	5	3	6	6
UNMC-61	3	3	5	5	3	4	6
MCL-128	1	5	1	1	1	9	4
GROUP7-14	2	2	2	2	7	4	9
GROUP4-6	1	1	1	7	2	1	1
GROUP7-2	1	1	1	7	2	1	4
HUMC5	2	2	2	2	7	3	2
MCL-35	1	5	1	1	1	9	9
MCL-75	3	3	5	5	3	6	6
UNMC-24	4	2	2	3	8	4	3
M47-023	4	2	2	2	8	4	3
UNMC-86	2	2	6	2	7	3	7
GROUP5-1	4	2	6	6	5	8	7
GROUP5-5	2	2	2	2	7	3	9
UNMC-8	1	5	1	1	1	7	3
GROUP6-1	1	5	1	1	1	9	4
UNMC-23	1	5	1	1	1	9	4
MCL-71	1	5	1	1	1	9	4
IA4289	3	4	4	5	4	5	10
S08-1	4	2	2	3	6	4	3
UNMC-84	4	2	2	3	6	4	3
SC02-11	3	3	3	5	3	6	6
UNMC-44	1	4	2	3	8	4	3
M47-022	4	3	2	3	6	4	3
BC04	4	3	3	3	6	7	3
HUMC-9	4	2	6	6	5	8	7
GROUP7-22	4	2	6	6	5	8	7
M47-3	1	2	1	1	1	9	4
UNMC-51	4	2	2	3	8	4	3
GROUP4-3	2	2	6	4	4	5	5
WCM045	2	4	4	4	4	5	5
UNMC-31	1	1	1	7	2	1	1
GROUP7-5	2	2	6	4	4	5	8
GROUP4-8	2	4	4	4	4	5	5
UNMC-97	1	5	1	7	8	1	1
HUMC1	2	1	4	7	2	4	1
MCL-61	1	1	1	7	2	1	1
S87-4	2	2	6	4	4	5	5
UNMC-85	4	2	2	2	7	3	7
SC08-2	4	2	6	6	5	8	7
S06-166	2	2	6	6	5	8	8
IA2334	2	2	6	4	4	5	5
MCL-122	2	2	6	4	4	5	5
GROUP5-3	2	2	5	7	4	2	2
GROUP5-7	2	2	4	5	4	5	9
S89-9	4	2	6	6	5	8	7
GROUP4-5	1	1	1	7	2	1	1
M47-025	2	2	2	2	7	8	2
IA834	2	2	6	2	5	8	8
HUMC-12	1	1	1	7	2	1	1
UNMC-88	1	1	1	7	2	1	1
GROUP4-11	4	4	3	4	4	4	10
UNMC-39	1	1	1	7	2	1	1
MCL-25	3	4	4	5	3	6	6
HUMC-10	1	5	3	1	6	7	3
GROUP7-19	3	3	5	5	3	6	6
GROUP5-8	4	2	2	3	5	3	7
SPECS-3164	4	4	3	4	4	4	10
UNMC-71-A5	4	4	3	4	4	4	10
MCL-24	1	5	1	1	1	9	4
UNMC-37	1	5	1	1	1	9	4
IA-02	1	5	1	1	1	9	4
GROUP7-3	1	1	1	7	8	1	1
S03-8	3	4	4	5	4	5	10
GROUP5-2	1	1	1	7	2	1	1
GROUP4-10	3	3	5	5	3	6	6
MCL-45	2	2	2	2	7	3	9
MCL-109	1	5	1	1	1	9	4
SC01-10	4	1	6	6	5	8	8
WCM041	2	4	4	4	4	5	5
MCL-146	3	4	4	5	4	5	10
MCL-126	2	2	6	6	5	8	8
